@NAME,@TYPE,@TEMPLATE,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@WHENUPDATED,@DATEVALIDATED,@UNIQUEIDENTIFIER,@DESCRIPTION,@WHENCREATED,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,0,0,2021-05-13T09:24:31,1899-12-30T00:00:00,04ff12f3b3cd11eb80ff000d3a02ed0d,,2021-05-13T09:24:31,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,658c75e7f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:24:31,1899-12-30T00:00:00,04ff12f6b3cd11eb80ff000d3a02ed0d,,2021-05-13T09:24:31,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,658c75f0f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:24:32,1899-12-30T00:00:00,04ff12fab3cd11eb80ff000d3a02ed0d,,2021-05-13T09:24:32,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,658c75fcf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:24:32,1899-12-30T00:00:00,04ff12fdb3cd11eb80ff000d3a02ed0d,,2021-05-13T09:24:32,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,658c75fff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:24:32,1899-12-30T00:00:00,04ff1300b3cd11eb80ff000d3a02ed0d,,2021-05-13T09:24:32,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,658c7602f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:24:32,1899-12-30T00:00:00,04ff1303b3cd11eb80ff000d3a02ed0d,,2021-05-13T09:24:32,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,658c7605f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:24:32,1899-12-30T00:00:00,04ff1306b3cd11eb80ff000d3a02ed0d,,2021-05-13T09:24:32,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,658c7608f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:24:32,1899-12-30T00:00:00,04ff1309b3cd11eb80ff000d3a02ed0d,,2021-05-13T09:24:32,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,658c760ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:24:33,1899-12-30T00:00:00,04ff130cb3cd11eb80ff000d3a02ed0d,,2021-05-13T09:24:33,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,658c7611f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:24:33,1899-12-30T00:00:00,04ff130fb3cd11eb80ff000d3a02ed0d,,2021-05-13T09:24:33,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,658c7614f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
