@TEMPLATE,@NAME,@EXPORTFLAG,@VALIDATED,@DESCRIPTION,@DATEVALIDATED,@WHENCREATED,@TYPE,@ALLOWAUTOMATICDELETION,@UNIQUEIDENTIFIER,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:56:45,,0,04b69789637211e4925a6817294aebff,2014-11-03T09:56:45,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,7001e8d9cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:57:01,,0,11965faa637211e4925a6817294aebff,2014-11-03T09:57:01,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,760019d0cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:57:07,,0,11965fab637211e4925a6817294aebff,2014-11-03T09:57:07,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,760019d9cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:57:12,,0,1805ce89637211e4925a6817294aebff,2014-11-03T09:57:12,f2c7e678637011e4925a6817294aebff,FRAMEWORXCATEGORY,7001e87ecb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:57:23,,0,1e7627cc637211e4925a6817294aebff,2014-11-03T09:57:23,fa2cdc7d637011e4925a6817294aebff,FRAMEWORXCATEGORY,7001e88ecb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:57:29,,0,1e7627cd637211e4925a6817294aebff,2014-11-03T09:57:29,fa2cdc7d637011e4925a6817294aebff,FRAMEWORXCATEGORY,76001942cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:57:39,,0,25063e87637211e4925a6817294aebff,2014-11-03T09:57:39,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,76001900cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:57:45,,0,2b73d89e637211e4925a6817294aebff,2014-11-03T09:57:45,f2c7e678637011e4925a6817294aebff,FRAMEWORXCATEGORY,7001e9a7cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:57:50,,0,2b73d89f637211e4925a6817294aebff,2014-11-03T09:57:50,fa2cdc7d637011e4925a6817294aebff,FRAMEWORXCATEGORY,7001e89acb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:57:56,,0,31e40ad0637211e4925a6817294aebff,2014-11-03T09:57:56,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,760018fbcb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:58:01,,0,31e40ad1637211e4925a6817294aebff,2014-11-03T09:58:01,f2c7e678637011e4925a6817294aebff,FRAMEWORXCATEGORY,7001e9a2cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
