@NAME,@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@TEMPLATE,@DATEVALIDATED,@EXPORTFLAG,@VALIDATED,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:48,2016-06-01T15:15:48,01ede2c3283e11e6bf18002590713bc0,658c74b0f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,053ffc67a80b11dc88c400059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:48,2016-06-01T15:15:48,01ede2c5283e11e6bf18002590713bc0,658c74b3f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,a5d35b7f1b6411dc87c600059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:49,2016-06-01T15:15:49,01ede2c7283e11e6bf18002590713bc0,658c74b6f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,a5d35b7f1b6411dc87c600059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:49,2016-06-01T15:15:49,01ede2c9283e11e6bf18002590713bc0,658c74b9f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,a5d35b7f1b6411dc87c600059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:50,2016-06-01T15:15:50,01ede2cb283e11e6bf18002590713bc0,658c74bcf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,a5d35b7f1b6411dc87c600059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:50,2016-06-01T15:15:50,01ede2cd283e11e6bf18002590713bc0,658c74bff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,a5d35b7f1b6411dc87c600059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:51,2016-06-01T15:15:51,01ede2cf283e11e6bf18002590713bc0,658c74c2f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,a5d35b7f1b6411dc87c600059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:52,2016-06-01T15:15:52,01ede2d3283e11e6bf18002590713bc0,658c74c8f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,f7145b5a46a311df88120026b9bf6441,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:53,2016-06-01T15:15:53,01ede2d7283e11e6bf18002590713bc0,658c74cef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,f7145b5a46a311df88120026b9bf6441,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:54,2016-06-01T15:15:54,01ede2d9283e11e6bf18002590713bc0,658c74d1f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,f7145b5a46a311df88120026b9bf6441,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:55,2016-06-01T15:15:55,01ede2db283e11e6bf18002590713bc0,658c74d4f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,b3b00791153911ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:55,2016-06-01T15:15:55,01ede2dd283e11e6bf18002590713bc0,658c74d7f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,fb63278847d211df8c200026b9bf6441,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:56,2016-06-01T15:15:56,01ede2df283e11e6bf18002590713bc0,658c74dbf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,fb63278847d211df8c200026b9bf6441,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:56,2016-06-01T15:15:56,01ede2e1283e11e6bf18002590713bc0,658c74def4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ae23172747d211df8c200026b9bf6441,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:15:57,2016-06-01T15:15:57,01ede2e5283e11e6bf18002590713bc0,658c74e4f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ae23172747d211df8c200026b9bf6441,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2021-05-13T09:24:32,2021-05-13T09:24:32,04ff12f8b3cd11eb80ff000d3a02ed0d,658c75fcf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,06e6574d474211df8c200026b9bf6441,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
,,0,,0,1899-12-30T00:00:00,0,0,2021-05-13T09:24:33,2021-05-13T09:24:33,04ff1311b3cd11eb80ff000d3a02ed0d,658c761df4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,4ce445d7472211df8c200026b9bf6441,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
,,0,,0,1899-12-30T00:00:00,0,0,2021-05-13T09:24:36,2021-05-13T09:24:36,04ff1339b3cd11eb80ff000d3a02ed0d,6b84a769f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,df4d7c046a3511e290abf04da23a38c8,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
,,0,,0,1899-12-30T00:00:00,0,0,2021-05-13T09:24:37,2021-05-13T09:24:37,04ff133db3cd11eb80ff000d3a02ed0d,6b84a76cf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,df4d7c046a3511e290abf04da23a38c8,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
,,0,,0,1899-12-30T00:00:00,0,0,2021-05-13T09:24:37,2021-05-13T09:24:37,04ff1341b3cd11eb80ff000d3a02ed0d,6b84a76ff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,df4d7c046a3511e290abf04da23a38c8,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
,,0,,0,1899-12-30T00:00:00,0,0,2021-05-13T09:24:38,2021-05-13T09:24:38,04ff1345b3cd11eb80ff000d3a02ed0d,6b84a772f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,df4d7c046a3511e290abf04da23a38c8,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
,,0,,0,1899-12-30T00:00:00,0,0,2021-05-13T09:24:38,2021-05-13T09:24:38,04ff1349b3cd11eb80ff000d3a02ed0d,6b84a775f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,204cd5baa08f11e2bf255c260a653b0e,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
