@EXPORTFLAG,@ALLOWAUTOMATICDELETION,@VALIDATED,@WHENCREATED,@NAME,@TEMPLATE,@DESCRIPTION,@DATEVALIDATED,@WHENUPDATED,@UNIQUEIDENTIFIER,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,0,0,2018-05-01T03:16:16,,0,,1899-12-30T00:00:00,2018-05-01T03:16:16,01ba71414cee11e880d5000d3a02ed0d,,202b9d4d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d5b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:17,,0,,1899-12-30T00:00:00,2018-05-01T03:16:17,01ba71434cee11e880d5000d3a02ed0d,,202b9d4d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d6041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:18,,0,,1899-12-30T00:00:00,2018-05-01T03:16:18,01ba71454cee11e880d5000d3a02ed0d,,1a30a14341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d6441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:19,,0,,1899-12-30T00:00:00,2018-05-01T03:16:19,01ba71474cee11e880d5000d3a02ed0d,,1a30a14341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d6841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:20,,0,,1899-12-30T00:00:00,2018-05-01T03:16:20,01ba71494cee11e880d5000d3a02ed0d,,1a30a12541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d6c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:21,,0,,1899-12-30T00:00:00,2018-05-01T03:16:21,01ba714b4cee11e880d5000d3a02ed0d,,1a30a12541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d7041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:22,,0,,1899-12-30T00:00:00,2018-05-01T03:16:22,01ba714d4cee11e880d5000d3a02ed0d,,1a30a13241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d7441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:23,,0,,1899-12-30T00:00:00,2018-05-01T03:16:23,01ba714f4cee11e880d5000d3a02ed0d,,202b9d7141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d7841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:24,,0,,1899-12-30T00:00:00,2018-05-01T03:16:24,01ba71514cee11e880d5000d3a02ed0d,,202b9d7141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d7c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:25,,0,,1899-12-30T00:00:00,2018-05-01T03:16:25,01ba71534cee11e880d5000d3a02ed0d,,1a30a14341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d8041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:26,,0,,1899-12-30T00:00:00,2018-05-01T03:16:26,01ba71554cee11e880d5000d3a02ed0d,,202b9d8341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d8541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:08,,0,,1899-12-30T00:00:00,2018-05-01T03:09:08,0253afd24ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,cefb20f941a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:09,,0,,1899-12-30T00:00:00,2018-05-01T03:09:09,0253afd54ced11e880d5000d3a02ed0d,,f65a6ce941a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d0841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:10,,0,,1899-12-30T00:00:00,2018-05-01T03:09:10,0253afd84ced11e880d5000d3a02ed0d,,024c5cc841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d0c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:12,,0,,1899-12-30T00:00:00,2018-05-01T03:09:12,0253afdb4ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:13,,0,,1899-12-30T00:00:00,2018-05-01T03:09:13,0253afde4ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:14,,0,,1899-12-30T00:00:00,2018-05-01T03:09:14,0253afe14ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:16,,0,,1899-12-30T00:00:00,2018-05-01T03:09:16,0253afe44ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
