@TEMPLATE,@TYPE,@ALLOWAUTOMATICDELETION,@DATEVALIDATED,@UNIQUEIDENTIFIER,@DESCRIPTION,@WHENCREATED,@NAME,@VALIDATED,@EXPORTFLAG,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,1899-12-30T00:00:00,466effa1eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:37,,0,0,2021-07-22T18:04:37,cefb20f941a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effa4eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:37,,0,0,2021-07-22T18:04:37,024c5d0841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effa5eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:37,,0,0,2021-07-22T18:04:37,024c5d0841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effa8eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:38,,0,0,2021-07-22T18:04:38,024c5d0c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effabeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:38,,0,0,2021-07-22T18:04:38,024c5d1041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effaeeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:38,,0,0,2021-07-22T18:04:38,024c5d1441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effb0eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:38,,0,0,2021-07-22T18:04:38,024c5d1841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effb2eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:38,,0,0,2021-07-22T18:04:38,024c5d1c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effb4eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:38,,0,0,2021-07-22T18:04:38,024c5d2041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effb6eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:38,,0,0,2021-07-22T18:04:38,024c5d2441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effb8eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:38,,0,0,2021-07-22T18:04:38,024c5c6441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effbaeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:38,,0,0,2021-07-22T18:04:38,fc53513041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effbceb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c6941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effbeeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c6941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effc0eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c6f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,271efcfde24d11e392b26817294aebff,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effc2eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c6f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effc4eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c7441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effc6eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c7941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effc8eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c7e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effcaeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c8441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effcceb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c4e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effceeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c8941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effd0eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:39,,0,0,2021-07-22T18:04:39,024c5c8f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effd2eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:40,,0,0,2021-07-22T18:04:40,024c5c9441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effd4eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:40,,0,0,2021-07-22T18:04:40,024c5c9941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effd6eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:40,,0,0,2021-07-22T18:04:40,024c5c9d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effd8eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:40,,0,0,2021-07-22T18:04:40,f65a6d9d41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effdaeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:40,,0,0,2021-07-22T18:04:40,f65a6da241a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effddeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:40,,0,0,2021-07-22T18:04:40,f65a6da741a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effdfeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:40,,0,0,2021-07-22T18:04:40,f65a6dac41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effe1eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:40,,0,0,2021-07-22T18:04:40,f65a6db141a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effe4eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,f65a6db641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effe6eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,fc53505241a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effe8eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,f65a6cdd41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effebeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,f65a6ce241a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466effeeeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,f65a6ce741a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466efff0eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,f65a6ce741a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466efff2eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,fc53508041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466efff4eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,fc53508041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466efff6eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,fc53508641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466efff8eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,fc53508b41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466efffaeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:41,,0,0,2021-07-22T18:04:41,fc53505841a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466efffceb1711eb8103000d3a02ed0d,,2021-07-22T18:04:42,,0,0,2021-07-22T18:04:42,fc53505841a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466efffeeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:42,,0,0,2021-07-22T18:04:42,fc5350fd41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466f0000eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:42,,0,0,2021-07-22T18:04:42,fc53510141a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466f0002eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:42,,0,0,2021-07-22T18:04:42,024c5ce241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466f0005eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:42,,0,0,2021-07-22T18:04:42,fc53507941a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466f0008eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:42,,0,0,2021-07-22T18:04:42,024c5ce641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466f000beb1711eb8103000d3a02ed0d,,2021-07-22T18:04:42,,0,0,2021-07-22T18:04:42,024c5cba41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,466f000deb1711eb8103000d3a02ed0d,,2021-07-22T18:04:42,,0,0,2021-07-22T18:04:42,024c5cba41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
