@TYPE,@DESCRIPTION,@VALIDATED,@WHENCREATED,@NAME,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@UNIQUEIDENTIFIER,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,2021-07-21T14:29:14,,0,0,1899-12-30T00:00:00,0,01c654fbea3011eb8103000d3a02ed0d,2021-07-21T14:29:14,f65a6d6041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,01c654faea3011eb8103000d3a02ed0d,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2021-07-21T14:29:15,,0,0,1899-12-30T00:00:00,0,01c654fcea3011eb8103000d3a02ed0d,2021-07-21T14:29:15,f65a6d6441a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,01c654faea3011eb8103000d3a02ed0d,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2021-07-21T14:29:15,,0,0,1899-12-30T00:00:00,0,01c654ffea3011eb8103000d3a02ed0d,2021-07-21T14:29:15,f65a6d6a41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,01c654faea3011eb8103000d3a02ed0d,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2021-07-21T14:29:16,,0,0,1899-12-30T00:00:00,0,01c65504ea3011eb8103000d3a02ed0d,2021-07-21T14:29:16,f65a6d7041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,01c654faea3011eb8103000d3a02ed0d,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2021-07-21T14:29:16,,0,0,1899-12-30T00:00:00,0,01c65509ea3011eb8103000d3a02ed0d,2021-07-21T14:29:16,f65a6d7541a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,01c654faea3011eb8103000d3a02ed0d,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2021-07-21T14:29:17,,0,0,1899-12-30T00:00:00,0,01c6550eea3011eb8103000d3a02ed0d,2021-07-21T14:29:17,f65a6d7b41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,01c654faea3011eb8103000d3a02ed0d,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2021-07-21T14:29:17,,0,0,1899-12-30T00:00:00,0,01c6550fea3011eb8103000d3a02ed0d,2021-07-21T14:29:17,f65a6d8141a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,01c654faea3011eb8103000d3a02ed0d,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:09:08,,0,0,1899-12-30T00:00:00,0,0253afd34ced11e880d5000d3a02ed0d,2018-05-01T03:09:08,cefb20f941a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:09:09,,0,0,1899-12-30T00:00:00,0,0253afd64ced11e880d5000d3a02ed0d,2018-05-01T03:09:09,024c5d0841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:09:10,,0,0,1899-12-30T00:00:00,0,0253afd94ced11e880d5000d3a02ed0d,2018-05-01T03:09:10,024c5d0c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:09:12,,0,0,1899-12-30T00:00:00,0,0253afdc4ced11e880d5000d3a02ed0d,2018-05-01T03:09:12,024c5d1041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:09:13,,0,0,1899-12-30T00:00:00,0,0253afdf4ced11e880d5000d3a02ed0d,2018-05-01T03:09:13,024c5d1441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:09:15,,0,0,1899-12-30T00:00:00,0,0253afe24ced11e880d5000d3a02ed0d,2018-05-01T03:09:15,024c5d1841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:09:16,,0,0,1899-12-30T00:00:00,0,0253afe54ced11e880d5000d3a02ed0d,2018-05-01T03:09:16,024c5d1c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
