@ALLOWAUTOMATICDELETION,@TYPE,@NAME,@TEMPLATE,@VALIDATED,@UNIQUEIDENTIFIER,@DESCRIPTION,@EXPORTFLAG,@WHENCREATED,@DATEVALIDATED,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,,0,0,4748c6336df911ea80ee000d3a02ed0d,,0,2020-03-24T18:00:01,1899-12-30T00:00:00,2020-03-24T18:00:01,4748c6326df911ea80ee000d3a02ed0d,FRAMEWORXODAFUNCTIONALBLOCK,760019d0cb2b11db9435000e3573f0d3,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,,0,0,4748c6346df911ea80ee000d3a02ed0d,,0,2020-03-24T18:00:01,1899-12-30T00:00:00,2020-03-24T18:00:01,4748c6326df911ea80ee000d3a02ed0d,FRAMEWORXODAFUNCTIONALBLOCK,04faa656646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,,0,0,4748c6356df911ea80ee000d3a02ed0d,,0,2020-03-24T18:00:01,1899-12-30T00:00:00,2020-03-24T18:00:01,4748c6326df911ea80ee000d3a02ed0d,FRAMEWORXODAFUNCTIONALBLOCK,04faa657646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,,0,0,4748c6366df911ea80ee000d3a02ed0d,,0,2020-03-24T18:00:01,1899-12-30T00:00:00,2020-03-24T18:00:01,4748c6326df911ea80ee000d3a02ed0d,FRAMEWORXODAFUNCTIONALBLOCK,76001942cb2b11db9435000e3573f0d3,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,,0,0,4748c6376df911ea80ee000d3a02ed0d,,0,2020-03-24T18:00:02,1899-12-30T00:00:00,2020-03-24T18:00:02,4748c6326df911ea80ee000d3a02ed0d,FRAMEWORXODAFUNCTIONALBLOCK,04faa659646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,,0,0,4748c6386df911ea80ee000d3a02ed0d,,0,2020-03-24T18:00:02,1899-12-30T00:00:00,2020-03-24T18:00:02,4748c6326df911ea80ee000d3a02ed0d,FRAMEWORXODAFUNCTIONALBLOCK,04faa658646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,,0,0,4748c6396df911ea80ee000d3a02ed0d,,0,2020-03-24T18:00:02,1899-12-30T00:00:00,2020-03-24T18:00:02,4748c6326df911ea80ee000d3a02ed0d,FRAMEWORXODAFUNCTIONALBLOCK,7001e836cb2b11db9435000e3573f0d3,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,,0,0,4748c63a6df911ea80ee000d3a02ed0d,,0,2020-03-24T18:00:02,1899-12-30T00:00:00,2020-03-24T18:00:02,4748c6326df911ea80ee000d3a02ed0d,FRAMEWORXODAFUNCTIONALBLOCK,04faa65c646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,,0,0,4748c63b6df911ea80ee000d3a02ed0d,,0,2020-03-24T18:00:02,1899-12-30T00:00:00,2020-03-24T18:00:02,4748c6326df911ea80ee000d3a02ed0d,FRAMEWORXODAFUNCTIONALBLOCK,eeca9fab87ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,,0,0,4748c63c6df911ea80ee000d3a02ed0d,,0,2020-03-24T18:00:02,1899-12-30T00:00:00,2020-03-24T18:00:02,4748c6326df911ea80ee000d3a02ed0d,FRAMEWORXODAFUNCTIONALBLOCK,f4d37cd487ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
