@TYPE,@UNIQUEIDENTIFIER,@ALLOWAUTOMATICDELETION,@WHENUPDATED,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@DESCRIPTION,@WHENCREATED,@NAME,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,7b8fb8d55e8a11e4925a6817294aebff,0,2014-10-28T04:09:28,0,1899-12-30T00:00:00,0,,2014-10-28T04:09:28,,0,81a40e0d5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,cd0c299b5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,b1324842f4dd11e4aa85002590713bc0,0,2015-05-07T11:23:00,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:00,,0,dd85868f5f4711e4b023002590713bc0,FRAMEWORXTOUCHPOINT,b1324841f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,b1324844f4dd11e4aa85002590713bc0,0,2015-05-07T11:23:01,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:01,,0,e9c33fda5e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,e38198665e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,b1324846f4dd11e4aa85002590713bc0,0,2015-05-07T11:23:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:02,,0,f159a6dc5e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,b1324848f4dd11e4aa85002590713bc0,0,2015-05-07T11:23:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:02,,0,fe85944b5e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,f159a6dd5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,b132484af4dd11e4aa85002590713bc0,0,2015-05-07T11:23:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:03,,0,063724d25e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,f159a6dd5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,b132484cf4dd11e4aa85002590713bc0,0,2015-05-07T11:23:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:03,,0,0d849ae25e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,f159a6dd5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,b75c785df4dd11e4aa85002590713bc0,0,2015-05-07T11:23:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:04,,0,1490731c5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,b75c785ff4dd11e4aa85002590713bc0,0,2015-05-07T11:23:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:04,,0,1bf5de565e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,b75c7861f4dd11e4aa85002590713bc0,0,2015-05-07T11:23:05,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:05,,0,23432d555e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
