@WHENUPDATED,@WHENCREATED,@TEMPLATE,@NAME,@ALLOWAUTOMATICDELETION,@TYPE,@DESCRIPTION,@UNIQUEIDENTIFIER,@EXPORTFLAG,@VALIDATED,@DATEVALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
2015-05-07T11:23:00,2015-05-07T11:23:00,0,,0,,,b132483cf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,dae667c45e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:00,2015-05-07T11:23:00,0,,0,,,b1324843f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,dae667c75e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:01,2015-05-07T11:23:01,0,,0,,,b1324845f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,e9c33fda5e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:02,2015-05-07T11:23:02,0,,0,,,b1324847f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,f159a6dc5e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:02,2015-05-07T11:23:02,0,,0,,,b1324849f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,f843ecd75e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,fe85944b5e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:03,2015-05-07T11:23:03,0,,0,,,b132484bf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,f843ecd75e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,063724d25e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:03,2015-05-07T11:23:03,0,,0,,,b132484df4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,f843ecd75e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,0d849ae25e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:04,2015-05-07T11:23:04,0,,0,,,b75c785ef4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,f843ecd75e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,1490731c5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:05,2015-05-07T11:23:05,0,,0,,,b75c7860f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,f843ecd75e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,1bf5de565e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:05,2015-05-07T11:23:05,0,,0,,,b75c7862f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,f843ecd75e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,23432d555e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
