@TYPE,@VALIDATED,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,@WHENCREATED,@DESCRIPTION,@EXPORTFLAG,@WHENUPDATED,@UNIQUEIDENTIFIER,@NAME,@TEMPLATE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,1899-12-30T00:00:00,0,2020-04-06T18:50:39,,0,2020-04-06T18:50:39,81a9539f783711ea80ee000d3a02ed0d,,0,543573ae736211ea80ee000d3a02ed0d,ENTITY,543573b0736211ea80ee000d3a02ed0d,ENTITY,DFREED,DFREED,DFREED
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:25,,0,2020-03-31T15:18:25,dcfec7ff736211ea80ee000d3a02ed0d,,0,4e3c7eeb736211ea80ee000d3a02ed0d,ENTITY,4e3c7ee9736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:25,,0,2020-03-31T15:18:25,dcfec800736211ea80ee000d3a02ed0d,,0,4e3c7ef3736211ea80ee000d3a02ed0d,ENTITY,4e3c7ef1736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:25,,0,2020-03-31T15:18:25,dcfec801736211ea80ee000d3a02ed0d,,0,4e3c7f09736211ea80ee000d3a02ed0d,ENTITY,4e3c7f07736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:25,,0,2020-03-31T15:18:25,dcfec802736211ea80ee000d3a02ed0d,,0,4e3c7f11736211ea80ee000d3a02ed0d,ENTITY,4e3c7f0f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:25,,0,2020-03-31T15:18:25,dcfec803736211ea80ee000d3a02ed0d,,0,4e3c7f13736211ea80ee000d3a02ed0d,ENTITY,4e3c7f0f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:25,,0,2020-03-31T15:18:25,dcfec804736211ea80ee000d3a02ed0d,,0,4e3c7f15736211ea80ee000d3a02ed0d,ENTITY,4e3c7f0f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:25,,0,2020-03-31T15:18:25,dcfec805736211ea80ee000d3a02ed0d,,0,4e3c7f17736211ea80ee000d3a02ed0d,ENTITY,4e3c7f0f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:25,,0,2020-03-31T15:18:25,dcfec806736211ea80ee000d3a02ed0d,,0,4e3c7f19736211ea80ee000d3a02ed0d,ENTITY,4e3c7f0f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:26,,0,2020-03-31T15:18:26,dcfec807736211ea80ee000d3a02ed0d,,0,4e3c7f1b736211ea80ee000d3a02ed0d,ENTITY,4e3c7f0f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:26,,0,2020-03-31T15:18:26,dcfec808736211ea80ee000d3a02ed0d,,0,4e3c7f1d736211ea80ee000d3a02ed0d,ENTITY,4e3c7f0f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:26,,0,2020-03-31T15:18:26,dcfec809736211ea80ee000d3a02ed0d,,0,4e3c7f1f736211ea80ee000d3a02ed0d,ENTITY,4e3c7f0f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
