@DESCRIPTION,@TEMPLATE,@VALIDATED,@DATEVALIDATED,@WHENUPDATED,@TYPE,@WHENCREATED,@ALLOWAUTOMATICDELETION,@UNIQUEIDENTIFIER,@NAME,@EXPORTFLAG,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:37,,2021-07-22T18:04:37,0,466effa2eb1711eb8103000d3a02ed0d,,0,cefb20f941a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1bbef6e6ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:37,,2021-07-22T18:04:37,0,466effa3eb1711eb8103000d3a02ed0d,,0,cefb20f941a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,27afd36cad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effa6eb1711eb8103000d3a02ed0d,,0,024c5d0841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,27afd36cad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effa7eb1711eb8103000d3a02ed0d,,0,024c5d0841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,21b5c1b2ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effa9eb1711eb8103000d3a02ed0d,,0,024c5d0c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1bbef681ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effaaeb1711eb8103000d3a02ed0d,,0,024c5d0c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,21b5c278ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effaceb1711eb8103000d3a02ed0d,,0,024c5d1041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,21b5c278ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effadeb1711eb8103000d3a02ed0d,,0,024c5d1041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,27afd36cad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effafeb1711eb8103000d3a02ed0d,,0,024c5d1441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,27afd36cad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effb1eb1711eb8103000d3a02ed0d,,0,024c5d1841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,27afd36cad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effb3eb1711eb8103000d3a02ed0d,,0,024c5d1c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,27afd36cad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effb5eb1711eb8103000d3a02ed0d,,0,024c5d2041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,21b5c1b6ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effb7eb1711eb8103000d3a02ed0d,,0,024c5d2441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,21b5c1b6ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effb9eb1711eb8103000d3a02ed0d,,0,024c5c6441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,27afd36cad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:38,,2021-07-22T18:04:38,0,466effbbeb1711eb8103000d3a02ed0d,,0,fc53513041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,27afd3b7ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:39,,2021-07-22T18:04:39,0,466effbdeb1711eb8103000d3a02ed0d,,0,024c5c6941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,01c654cdea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:04:39,,2021-07-22T18:04:39,0,466effbfeb1711eb8103000d3a02ed0d,,0,024c5c6941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,27afd36cad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
