@NAME,@TEMPLATE,@TYPE,@CONFORMANCESCORE,@WHENCREATED,@CONFORMANCEVERSION,@VALIDATED,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@DESCRIPTION,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,,5,2014-04-18T01:06:03,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:06:07,0028abb8c6c811e3b45c6817294aebff,d8780662c6c711e3b45c6817294aebff,ISSUE,7001e8b4cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T01:06:10,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:06:13,0028abb9c6c811e3b45c6817294aebff,d8780662c6c711e3b45c6817294aebff,ISSUE,7001e8e4cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-01-14T00:27:51,f62191717eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-01-20T15:29:20,00d060277ce511e3b8b46817294aebff,21ee187251ea11e38362f81a67018365,ISSUE,7001e9aacb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-01-14T00:27:57,f62191717eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-01-20T15:32:34,00d060287ce511e3b8b46817294aebff,21ee187251ea11e38362f81a67018365,ISSUE,7001e8decb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-03-17T09:43:19,f62191707eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-03-17T09:43:22,01432ed5adeb11e3865d6817294aebff,c33ff241adea11e3865d6817294aebff,ISSUE,7001e954cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-03-17T09:43:25,f62191707eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-03-17T09:43:28,01432ed6adeb11e3865d6817294aebff,c33ff241adea11e3865d6817294aebff,ISSUE,7001e943cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,4.7,2014-04-18T00:51:48,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T00:51:51,023ab057c6c611e3b45c6817294aebff,f16b28b3c6c511e3b45c6817294aebff,ISSUE,760018b7cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T00:51:54,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T00:51:57,023ab058c6c611e3b45c6817294aebff,f16b28b3c6c511e3b45c6817294aebff,ISSUE,7001e9aacb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T01:13:19,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:13:22,03d76340c6c911e3b45c6817294aebff,d8780662c6c711e3b45c6817294aebff,ISSUE,7001e8accb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T01:13:25,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:13:28,03d76341c6c911e3b45c6817294aebff,d8780662c6c711e3b45c6817294aebff,ISSUE,7001e8bfcb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
