@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@NAME,@TEMPLATE,@WHENCREATED,@UNIQUEIDENTIFIER,@EXPORTFLAG,@DATEVALIDATED,@VALIDATED,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,,,0,2021-12-15T17:52:01,b320e8125dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:01,b320e8115dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,59974c2df4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:02,b320e81d5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:02,b320e8115dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,59974c3ff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:02,b320e8305dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:02,b320e8115dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,5f91defcf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:03,b320e8335dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:03,b320e8115dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,5f91defff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:03,b320e8365dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:03,b320e8115dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,5f91df02f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:03,b320e83e5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:03,b320e83d5dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,5f91df0ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:04,b320e84f5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:04,b320e8115dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,5f91dfb5f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:04,b320e8635dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:04,b320e8625dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,5f91e0d0f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:05,b320e8745dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:05,b320e8115dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,8bb26b1a9ea611e6bf18002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:05,b320e8775dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:05,b320e8115dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,8bb26b1d9ea611e6bf18002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:38,c514d3a75dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:38,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c73e8f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:38,c514d3aa5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:38,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c7428f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:38,c514d3ae5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:38,c514d3ad5dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c742ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:38,c514d3b15dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:38,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c7434f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:38,c514d3b45dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:38,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c743af4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:39,c514d3c75dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:39,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c749bf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:39,c514d3ca5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:39,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c749ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:39,c514d3cd5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:39,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c74a1f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:40,c514d3d45dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:40,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c74adf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:40,c514d3d75dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:40,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c74b0f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:40,cb0df3955dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:40,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c74b3f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:40,cb0df3985dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:40,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c74b6f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:40,cb0df39b5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:40,c514d3a65dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c74b9f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
