@UNIQUEIDENTIFIER,@WHENUPDATED,@ALLOWAUTOMATICDELETION,@VALIDATED,@TYPE,@DATEVALIDATED,@EXPORTFLAG,@WHENCREATED,@NAME,@DESCRIPTION,@TEMPLATE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
a003844b6f1311ec8109000d3a02ed0d,2022-01-06T17:11:03,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:03,,,0,26f874415dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff991f5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a003844c6f1311ec8109000d3a02ed0d,2022-01-06T17:11:03,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:03,,,0,26f874805dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99345dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a003844d6f1311ec8109000d3a02ed0d,2022-01-06T17:11:03,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:03,,,0,26f874865dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99375dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a003844e6f1311ec8109000d3a02ed0d,2022-01-06T17:11:03,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:03,,,0,2cf062335dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99b75dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a003844f6f1311ec8109000d3a02ed0d,2022-01-06T17:11:03,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:03,,,0,2cf062085dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99a05dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a00384506f1311ec8109000d3a02ed0d,2022-01-06T17:11:03,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:03,,,0,2cf062265dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99af5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a00384516f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf061f95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99945dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a00384526f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf0622b5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99b45dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a00384536f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf0620b5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99a05dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a00384546f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf0621d5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99ac5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a00384556f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf062205dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99ac5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a00384566f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,20ff99a35dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff998b5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a00384576f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf062115dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99a35dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a00384586f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf0621a5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99a95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a00384596f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf062145dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99a65dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a003845a6f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf062055dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff999d5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a003845b6f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf062305dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99b45dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a003845c6f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf0620e5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99a05dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
a003845d6f1311ec8109000d3a02ed0d,2022-01-06T17:11:04,0,0,,1899-12-30T00:00:00,0,2022-01-06T17:11:04,,,0,2cf062175dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,20ff99a65dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
