@UNIQUEIDENTIFIER,@EXPORTFLAG,@VALIDATED,@WHENCREATED,@NAME,@DESCRIPTION,@WHENUPDATED,@TYPE,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,@TEMPLATE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
20ff98f05dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:54,,,2021-12-15T17:47:54,,1899-12-30T00:00:00,0,0,20ff98f25dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff98f35dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff98f55dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff98f65dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff98f85dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,fa2cdc7d637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff98f95dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff98fb5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,fa2cdc7d637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff98fc5dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff98fe5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,f2c7e679637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff98ff5dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff99015dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,f2c7e679637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff99025dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff99045dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff99055dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff99075dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff99085dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff990a5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff990b5dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff990d5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff990e5dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff99105dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,fa2cdc7d637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
20ff99115dcf11ec8107000d3a02ed0d,0,0,2021-12-15T17:47:55,,,2021-12-15T17:47:55,,1899-12-30T00:00:00,0,0,20ff99135dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,f2c7e679637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
