@DATEVALIDATED,@TEMPLATE,@NAME,@DESCRIPTION,@VALIDATED,@WHENUPDATED,@UNIQUEIDENTIFIER,@TYPE,@WHENCREATED,@EXPORTFLAG,@ALLOWAUTOMATICDELETION,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
1899-12-30T00:00:00,0,,,0,2017-04-26T10:11:45,0a1670512a9b11e798fc002590713bc0,,2017-04-26T10:11:45,0,0,c83f37d0ee8b11e4aa85002590713bc0,CW_SITE,0a1670502a9b11e798fc002590713bc0,CW_VIEW,8,8,8,,,
1899-12-30T00:00:00,0,,,0,2020-07-20T14:28:51,54221270ca9511ea80f2000d3a02ed0d,,2020-07-20T14:28:51,0,0,c83f37d0ee8b11e4aa85002590713bc0,CW_SITE,5422126fca9511ea80f2000d3a02ed0d,CW_VIEW,,,,DFREED,DFREED,DFREED
1899-12-30T00:00:00,0,,,0,2020-07-20T14:28:51,54221272ca9511ea80f2000d3a02ed0d,,2020-07-20T14:28:51,0,0,c83f37d0ee8b11e4aa85002590713bc0,CW_SITE,54221271ca9511ea80f2000d3a02ed0d,CW_VIEW,,,,DFREED,DFREED,DFREED
1899-12-30T00:00:00,0,,,0,2017-04-05T16:08:57,7639c68e1a4c11e78b8b002590713bc0,,2017-04-05T16:08:57,0,0,c83f37d0ee8b11e4aa85002590713bc0,CW_SITE,7639c68d1a4c11e78b8b002590713bc0,CW_VIEW,8,8,8,,,
1899-12-30T00:00:00,0,,,0,2022-05-24T10:16:45,98d41214db4a11ec94f9000d3a0ebc70,,2022-05-24T10:16:45,0,0,c83f37d0ee8b11e4aa85002590713bc0,CW_SITE,98d41213db4a11ec94f9000d3a0ebc70,CW_VIEW,,,,ADMIN,ADMIN,ADMIN
1899-12-30T00:00:00,0,,,0,2022-05-24T10:16:45,98d41216db4a11ec94f9000d3a0ebc70,,2022-05-24T10:16:45,0,0,c83f37d0ee8b11e4aa85002590713bc0,CW_SITE,98d41215db4a11ec94f9000d3a0ebc70,CW_VIEW,,,,ADMIN,ADMIN,ADMIN
1899-12-30T00:00:00,0,,,0,2015-04-29T10:50:17,cf902946ee8f11e4aa85002590713bc0,,2015-04-29T10:50:17,0,0,c83f37d0ee8b11e4aa85002590713bc0,CW_SITE,39339eb9c28f11e4bf01ecf4bb16ac4b,CW_VIEW,8,8,8,,,
1899-12-30T00:00:00,0,,,0,2015-04-29T10:50:17,cf902948ee8f11e4aa85002590713bc0,,2015-04-29T10:50:17,0,0,c83f37d0ee8b11e4aa85002590713bc0,CW_SITE,dbca1cddbd0a11e4befeecf4bb16ac4b,CW_VIEW,8,8,8,,,
1899-12-30T00:00:00,0,,,0,2015-04-29T10:50:17,cf902949ee8f11e4aa85002590713bc0,,2015-04-29T10:50:17,0,0,c83f37d0ee8b11e4aa85002590713bc0,CW_SITE,dbd1fbf7bd0111e4befeecf4bb16ac4b,CW_VIEW,8,8,8,,,
1899-12-30T00:00:00,0,,,0,2015-04-29T10:50:17,cf90294aee8f11e4aa85002590713bc0,,2015-04-29T10:50:17,0,0,c83f37d0ee8b11e4aa85002590713bc0,CW_SITE,dbd1fbf9bd0111e4befeecf4bb16ac4b,CW_VIEW,8,8,8,,,
