@UNIQUEIDENTIFIER,@INDEPENDENT,@TYPE,@GROWTHTYPE,@RELATIONSHIPFLAG,@EXPORTFLAG,@VALIDATED,@WHENCREATED,@WHENUPDATED,@DATEVALIDATED,@NOTES,@DESCRIPTION,@NAME,@PURPOSE,@TEMPLATE,@ALTERNATENAME,@MASHUPURLLINKS,@CWAVERAGERATING,@CWTOTALCOMMENT,@MATURITYLEVEL,@FRAMEWORXSTATUS,@SPLITNAME,@LINK,RCENTITYTODATASTORE@DATASTOREID,RCENTITYTOSUPERENTITY@SUPERENTITYID,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
420ff1905ce911e780cb000d3a02ed0d,0,,0,0,0,0,2017-06-29T16:37:37,2018-06-05T17:35:58,1899-12-30T00:00:00,,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><HTML><HEAD><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></HEAD><BODY><SPAN lang=EN>
<P><FONT size=2 face=Arial>In Order to view the Information Model you can browse an online version of this file from the SID Model Link.</FONT></P>
<P><FONT size=2 face=Arial>Optionally, you can extract the Information Framework (SID) HTML Model zip file that is part of the Information Framework ZIP package on our website https://www.tmforum.org/. Unzip into a local directory and then click on the index.html file in that directory. </FONT></P></SPAN><A href=""https://www.tmforum.org/sidmodelhtml""></A></BODY></HTML>",SID Notice,,0,,,0.0,0.0,,,,https://www.tmforum.org/sidmodelhtml,0,0,DFREED,DFREED,DFREED
4e3c7e5d736211ea80ee000d3a02ed0d,0,1dbf2412225b11e2a987984be1bad6a0,0,0,0,0,2020-03-31T15:14:26,2020-03-31T16:33:00,1899-12-30T00:00:00,,"The Competitor ABE identifies other providers who compete in the same market segments, accumulates intelligence about the competitors, including products (price, Key Performance Indicators and so forth). The Competitor ABE provides information relative to the analysis of intelligence pertaining to an enterprise’s competitors. It is crucial to understand who the competitors are, what their products are, what the target markets for their products are, and how successful their products are. The Competitor ABE and Competitor entities also comprise the following level-two ABEs • Competitor Intelligence • A variety of Product domain ABEs relative to Competitors",Competitor ABE,,0,,,0.0,0.0,29cf62474cac11e39beff81a67018365,,,,0,0,ATALMOR,ATALMOR,ATALMOR
4e3c7e5f736211ea80ee000d3a02ed0d,0,c1bf5a91225b11e2a987984be1bad6a0,0,0,0,0,2020-03-31T15:14:26,2020-03-31T15:14:26,1899-12-30T00:00:00,,,Competitor Intelligence ABE,,0,,,0.0,0.0,29cf62474cac11e39beff81a67018365,,,,0,0,ATALMOR,ATALMOR,ATALMOR
4e3c7e61736211ea80ee000d3a02ed0d,0,c1bf5a91225b11e2a987984be1bad6a0,0,0,0,0,2020-03-31T15:14:26,2020-03-31T15:14:26,1899-12-30T00:00:00,,,Competitor Product Correlation ABE,,0,,,0.0,0.0,29cf62474cac11e39beff81a67018365,,,,0,0,ATALMOR,ATALMOR,ATALMOR
4e3c7e63736211ea80ee000d3a02ed0d,0,1dbf2412225b11e2a987984be1bad6a0,0,0,0,0,2020-03-31T15:14:26,2020-03-31T16:33:00,1899-12-30T00:00:00,,"Contact Lead Prospect ABE provides the ability to track sales leads through their life cycle up until the time the leads become customers, including lead and contact infor¬mation, sales prospects, proposals made to potential customers, and the amount of potential revenue the leads represent in the form of a sales pipeline.",Contact Lead Prospect ABE,,0,,,0.0,0.0,29cf62474cac11e39beff81a67018365,,,,0,0,ATALMOR,ATALMOR,ATALMOR
4e3c7e65736211ea80ee000d3a02ed0d,0,1dbf2412225b11e2a987984be1bad6a0,0,0,0,0,2020-03-31T15:14:26,2020-03-31T16:33:00,1899-12-30T00:00:00,,Market & Sales Strategy Plan ABE supports the business plans and strategies on how to address the market with appropriate products and channels.,Market & Sales Strategy Plan ABE,,0,,,0.0,0.0,29cf62474cac11e39beff81a67018365,,,,0,0,ATALMOR,ATALMOR,ATALMOR
4e3c7e67736211ea80ee000d3a02ed0d,0,1dbf2412225b11e2a987984be1bad6a0,0,0,0,0,2020-03-31T15:14:26,2020-03-31T16:33:00,1899-12-30T00:00:00,,"Market Sales Forcast ABE maintains market and sales forecasts, new service requirements, customer needs, and customer education.",Market Sales Forecast ABE,,0,,,0.0,0.0,29cf62474cac11e39beff81a67018365,,,,0,0,ATALMOR,ATALMOR,ATALMOR
4e3c7e69736211ea80ee000d3a02ed0d,0,1dbf2412225b11e2a987984be1bad6a0,0,0,0,0,2020-03-31T15:14:26,2020-03-31T16:33:00,1899-12-30T00:00:00,,"Market Sales Roles ABE contains all PartyRoles related to the Market Sales Domain such as MarketingManager, SalesAgent...",Market Sales Roles ABE,,0,,,0.0,0.0,29cf62474cac11e39beff81a67018365,,,,0,0,ATALMOR,ATALMOR,ATALMOR
4e3c7e6b736211ea80ee000d3a02ed0d,0,1dbf2412225b11e2a987984be1bad6a0,0,0,0,0,2020-03-31T15:14:26,2020-03-31T16:33:00,1899-12-30T00:00:00,,The Market Sales Statistics maintains market and sales key performance indicators about Sales & Marketing revenue and sales channel performance.,Market Sales Statistics ABE,,0,,,0.0,0.0,29cf62474cac11e39beff81a67018365,,,,0,0,ATALMOR,ATALMOR,ATALMOR
4e3c7e6d736211ea80ee000d3a02ed0d,0,1dbf2412225b11e2a987984be1bad6a0,0,0,0,0,2020-03-31T15:14:26,2020-03-31T16:33:00,1899-12-30T00:00:00,,Market Segment ABE supports market segments description.,Market Segment ABE,,0,,,0.0,0.0,29cf62474cac11e39beff81a67018365,,,,0,0,ATALMOR,ATALMOR,ATALMOR
4e3c7e6f736211ea80ee000d3a02ed0d,0,1dbf2412225b11e2a987984be1bad6a0,0,0,0,0,2020-03-31T15:14:26,2020-03-31T16:33:00,1899-12-30T00:00:00,,"The Marketing Campaign ABE represents the strategy, or approach, for marketing new or existing ProductOfferings to identified target markets. The campaign could be for one of the following. • The launch of a pre-paid ProductOffering with multiple promotions across SalesChannels, MarketSegments, and so forth • A new campaign for an existing ProductOffering; the ProductOffering is not new, but the relationships, collateral, and so forth could be new • A re-launch of a campaign for an existing ProductOffering",Marketing Campaign ABE,,0,,,0.0,0.0,29cf62474cac11e39beff81a67018365,,,,0,0,ATALMOR,ATALMOR,ATALMOR
