@CWAVERAGERATING,@CWTOTALCOMMENT,@PROCESSIDENTIFIER,@MATURITYLEVEL,@CANDIDATE,@ALTERNATENAME,@SPLITNAME,@FRAMEWORXSTATUS,@CANDIDATEMANDATORY,@CANDIDATEEXPLANATORY,@UNIQUEIDENTIFIER,@NAME,@NOTESFROMPREVIOUSDEVELOPMENT,@CANDIDATEOPTIONAL,@BRIEFDESCRIPTION,@SPECIFICATION,@EXPLANATORY,@TYPE,@DELETEDPROCESS,@DATEVALIDATED,@WHENCREATED,@MANDATORY,@OPTIONAL,@VALIDATED,@EXPORTFLAG,@NEWPROCESSIDENTIFIER,@SORTID,@TEMPLATE,@WHENUPDATED,@REFERENCES,@NOTE,@ETOMPROCESSCONTEXT,@DESCRIPTION,@INTERACTION,@CANDIDATEINTERACTIONS,@EHEALTHDESCRIPTION,@EHEALTHNAME,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0.0,0.0,1.2.1.5.1.1,6c6a1773598011df88790026b9bf6441,0,2.3.1.1 Gather Product Ideas,Gather Product Ideas,,Deleted,Deleted,00686ee176c111e1a8e8002564cb911c,Gather Product Ideas[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,1.2.3.1.1 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:18,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.1.2,6c6a1773598011df88790026b9bf6441,0,2.3.1.2 Identify Opportunities and Requirements,Identify Opportunities and Requirements,,Deleted,Deleted,00686ee476c111e1a8e8002564cb911c,Identify Opportunities and Requirements[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,1.2.3.1.2 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:19,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.1.3,6c6a1773598011df88790026b9bf6441,0,2.3.1.3 Develop New Opportunity Concepts,Develop New Opportunity Concepts,,Deleted,Deleted,00686ee776c111e1a8e8002564cb911c,Develop New Opportunity Concepts[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,1.2.3.1.3 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:16,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.4.1,6c6a1773598011df88790026b9bf6441,0,2.3.4.1 Develop Product Commercialization Case,Develop Product Commercialization Case,,Deleted,Deleted,00686eea76c111e1a8e8002564cb911c,Develop Product Commercialization Case[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,1.2.3.4.1 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:16,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.4.2,6c6a1773598011df88790026b9bf6441,0,2.3.4.2 Gain Product Commercialization Case Approval,Gain Product Commercialization Case Approval,,Deleted,Deleted,00686eed76c111e1a8e8002564cb911c,Gain Product Commercialization Case Approval[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,1.2.3.4.2 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:18,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.5.1,6c6a1773598011df88790026b9bf6441,0,2.3.5.1 Develop Detailed Product Technical Specifications,Develop Detailed Product Technical Specifications,,Deleted,Deleted,00686ef076c111e1a8e8002564cb911c,Develop Detailed Product Technical Specifications[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:16,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.5.2,6c6a1773598011df88790026b9bf6441,0,2.3.5.2 Develop Detailed Product Performance Specifications,Develop Detailed Product Performance Specifications,,Deleted,Deleted,00686ef376c111e1a8e8002564cb911c,Develop Detailed Product Performance Specifications[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:16,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.5.3,6c6a1773598011df88790026b9bf6441,0,2.3.5.3 Develop Detailed Product Operational Specifications,Develop Detailed Product Operational Specifications,,Deleted,Deleted,00686ef676c111e1a8e8002564cb911c,Develop Detailed Product Operational Specifications[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:16,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.5.4,6c6a1773598011df88790026b9bf6441,0,2.3.5.4 Develop Detailed Product Customer Manuals,Develop Detailed Product Customer Manuals,,Deleted,Deleted,00686ef976c111e1a8e8002564cb911c,Develop Detailed Product Customer Manuals[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:15,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.7.1,6c6a1773598011df88790026b9bf6441,0,2.3.7.1 Identify Product Issues,Identify Product Issues,,Deleted,Deleted,00686efc76c111e1a8e8002564cb911c,Identify Product Issues[DELETED],,Deleted,Deleted,,Not used for this process element,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Not used for this process element,Not used for this process element,0,0,1.2.3.7.1 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:20,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Not used for this process element,Deleted,,,ADMIN,ADMIN,DFREED,,,
