@TEMPLATE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@EXPORTFLAG,@DATEVALIDATED,@VALIDATED,@TYPE,@UNIQUEIDENTIFIER,@WHENCREATED,@WHENUPDATED,@NAME,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,0,,0,1899-12-30T00:00:00,0,,06318510aaa411dd9438001de065480b,2008-11-04T14:08:56,2008-11-04T14:08:56,,7001e999cb2b11db9435000e3573f0d3,ETOMPROCESS,88356b2eaa9711dd9438001de065480b,ETOMPROCESS,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN
0,0,,0,1899-12-30T00:00:00,0,,0aedaf28aaa611dd9438001de065480b,2008-11-04T14:23:23,2008-11-04T14:23:23,,7600198ecb2b11db9435000e3573f0d3,ETOMPROCESS,2fa1ed38aa9811dd9438001de065480b,ETOMPROCESS,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN
0,0,,0,1899-12-30T00:00:00,0,,0aedaf29aaa611dd9438001de065480b,2008-11-04T14:23:28,2008-11-04T14:23:28,,7600198ecb2b11db9435000e3573f0d3,ETOMPROCESS,e8b3f7b8aa9711dd9438001de065480b,ETOMPROCESS,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN
0,0,,0,1899-12-30T00:00:00,0,,0e84fb5caaa411dd9438001de065480b,2008-11-04T14:09:10,2008-11-04T14:09:10,,7001e999cb2b11db9435000e3573f0d3,ETOMPROCESS,b0fdc4acaa9711dd9438001de065480b,ETOMPROCESS,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN
0,0,,0,1899-12-30T00:00:00,0,,112b16b4aaa611dd9438001de065480b,2008-11-04T14:23:33,2008-11-04T14:23:33,,7600198ecb2b11db9435000e3573f0d3,ETOMPROCESS,375a6aaaaa9811dd9438001de065480b,ETOMPROCESS,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN
0,0,,0,1899-12-30T00:00:00,0,,112b16b5aaa611dd9438001de065480b,2008-11-04T14:23:36,2008-11-04T14:23:36,,7600198ecb2b11db9435000e3573f0d3,ETOMPROCESS,f0e60d18aa9711dd9438001de065480b,ETOMPROCESS,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN
0,0,,0,1899-12-30T00:00:00,0,,112b16b6aaa611dd9438001de065480b,2008-11-04T14:23:40,2008-11-04T14:23:40,,7600198ecb2b11db9435000e3573f0d3,ETOMPROCESS,f0e60d19aa9711dd9438001de065480b,ETOMPROCESS,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN
0,0,,0,1899-12-30T00:00:00,0,,112b16b7aaa611dd9438001de065480b,2008-11-04T14:23:42,2008-11-04T14:23:42,,7600198ecb2b11db9435000e3573f0d3,ETOMPROCESS,fdb91332aa9711dd9438001de065480b,ETOMPROCESS,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN
0,0,,0,1899-12-30T00:00:00,0,,1923f3a4aaa611dd9438001de065480b,2008-11-04T14:23:46,2008-11-04T14:23:46,,7600198ecb2b11db9435000e3573f0d3,ETOMPROCESS,465db962aa9811dd9438001de065480b,ETOMPROCESS,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN
0,0,,0,1899-12-30T00:00:00,0,,1923f3a5aaa611dd9438001de065480b,2008-11-04T14:23:52,2008-11-04T14:23:52,,7600198ecb2b11db9435000e3573f0d3,ETOMPROCESS,7d35ce62aa9c11dd9438001de065480b,ETOMPROCESS,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN
