@TEMPLATE,@WHENCREATED,@EXPORTFLAG,@DESCRIPTION,@DATEVALIDATED,@UNIQUEIDENTIFIER,@WHENUPDATED,@TYPE,@NAME,@VALIDATED,@ALLOWAUTOMATICDELETION,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,2012-03-25T17:25:12,0,,1899-12-30T00:00:00,00686edf76c111e1a8e8002564cb911c,2012-03-25T17:25:12,,,0,0,00686ee176c111e1a8e8002564cb911c,ETOMPROCESS,76001a4dcb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2012-03-25T17:25:12,0,,1899-12-30T00:00:00,00686ee276c111e1a8e8002564cb911c,2012-03-25T17:25:12,,,0,0,00686ee476c111e1a8e8002564cb911c,ETOMPROCESS,76001a4dcb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2012-03-25T17:25:12,0,,1899-12-30T00:00:00,00686ee576c111e1a8e8002564cb911c,2012-03-25T17:25:12,,,0,0,00686ee776c111e1a8e8002564cb911c,ETOMPROCESS,76001a4dcb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2012-03-25T17:25:12,0,,1899-12-30T00:00:00,00686ee876c111e1a8e8002564cb911c,2012-03-25T17:25:12,,,0,0,00686eea76c111e1a8e8002564cb911c,ETOMPROCESS,7600194ccb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2012-03-25T17:25:12,0,,1899-12-30T00:00:00,00686eeb76c111e1a8e8002564cb911c,2012-03-25T17:25:12,,,0,0,00686eed76c111e1a8e8002564cb911c,ETOMPROCESS,7600194ccb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2012-03-25T17:25:12,0,,1899-12-30T00:00:00,00686efa76c111e1a8e8002564cb911c,2012-03-25T17:25:12,,,0,0,00686efc76c111e1a8e8002564cb911c,ETOMPROCESS,7bf6a502cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2012-03-25T17:25:12,0,,1899-12-30T00:00:00,00686efd76c111e1a8e8002564cb911c,2012-03-25T17:25:12,,,0,0,00686eff76c111e1a8e8002564cb911c,ETOMPROCESS,7bf6a502cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2012-03-25T17:25:12,0,,1899-12-30T00:00:00,00686f0076c111e1a8e8002564cb911c,2012-03-25T17:25:12,,,0,0,00686f0276c111e1a8e8002564cb911c,ETOMPROCESS,7bf6a502cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2012-03-25T17:25:12,0,,1899-12-30T00:00:00,00686f0376c111e1a8e8002564cb911c,2012-03-25T17:25:12,,,0,0,00686f0576c111e1a8e8002564cb911c,ETOMPROCESS,7bf6a52ecb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2012-03-25T17:25:13,0,,1899-12-30T00:00:00,00686f0676c111e1a8e8002564cb911c,2012-03-25T17:25:13,,,0,0,00686f0876c111e1a8e8002564cb911c,ETOMPROCESS,7bf6a52ecb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
