@TYPE,@DESCRIPTION,@TEMPLATE,@DATEVALIDATED,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,@NAME,@ALLOWAUTOMATICDELETION,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,1899-12-30T00:00:00,0,2021-12-08T22:48:47,2021-12-08T22:48:47,0033297d587911ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,0cae7944faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:48:48,2021-12-08T22:48:48,0033297f587911ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,0cae7945faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:48:48,2021-12-08T22:48:48,00332981587911ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,0cae7946faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:48:49,2021-12-08T22:48:49,00332983587911ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,0cae7947faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:48:49,2021-12-08T22:48:49,00332985587911ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,0cae7948faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:48:50,2021-12-08T22:48:50,00332987587911ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,0cae7949faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:48:50,2021-12-08T22:48:50,00332989587911ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,0cae794afaee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:48:51,2021-12-08T22:48:51,0033298b587911ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,0cae794bfaee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:48:51,2021-12-08T22:48:51,0033298d587911ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,0cae794cfaee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:48:52,2021-12-08T22:48:52,0033298f587911ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,d088e1d287ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
