@FONTFACE,@FONTWIDTH,@FONTSTYLE,@FONTHEIGHT,@FONTFLAGS,@UNIQUEIDENTIFIER,RelationshipCollection
Arial Black,0,0,11,34,2878b855e81b11ec94fa000d3a0ebc70,
Arial Narrow,0,1,10,34,2878b85ae81b11ec94fa000d3a0ebc70,
Arial Narrow,0,1,11,34,2878b85be81b11ec94fa000d3a0ebc70,
Arial Narrow,0,1,12,32,2878b85ce81b11ec94fa000d3a0ebc70,
Arial Narrow,0,1,14,32,2878b85de81b11ec94fa000d3a0ebc70,
Arial Narrow,0,1,14,34,2878b85ee81b11ec94fa000d3a0ebc70,
Arial Narrow,0,0,16,34,2878b85fe81b11ec94fa000d3a0ebc70,
Arial Narrow,0,1,16,32,2878b860e81b11ec94fa000d3a0ebc70,
Arial Narrow,0,1,16,34,2878b861e81b11ec94fa000d3a0ebc70,
Arial Narrow,0,0,6,32,2878b856e81b11ec94fa000d3a0ebc70,
Arial Narrow,0,0,8,32,2878b857e81b11ec94fa000d3a0ebc70,
Arial Narrow,0,1,9,32,2878b858e81b11ec94fa000d3a0ebc70,
Arial Narrow,0,5,9,32,2878b859e81b11ec94fa000d3a0ebc70,
Arial Rounded MT Bold,0,0,10,32,2878b864e81b11ec94fa000d3a0ebc70,
Arial Rounded MT Bold,0,0,14,32,2878b865e81b11ec94fa000d3a0ebc70,
Arial Rounded MT Bold,0,0,16,32,2878b866e81b11ec94fa000d3a0ebc70,
Arial Rounded MT Bold,0,0,18,32,2878b867e81b11ec94fa000d3a0ebc70,
Arial Rounded MT Bold,0,0,20,32,2878b868e81b11ec94fa000d3a0ebc70,
Arial Rounded MT Bold,0,0,24,32,2878b869e81b11ec94fa000d3a0ebc70,
Arial Rounded MT Bold,0,0,8,32,2878b862e81b11ec94fa000d3a0ebc70,
Arial Rounded MT Bold,0,0,9,32,2878b863e81b11ec94fa000d3a0ebc70,
Arial,0,0,10,32,2878b82ce81b11ec94fa000d3a0ebc70,
Arial,0,0,10,34,2878b82de81b11ec94fa000d3a0ebc70,
Arial,0,1,10,32,2878b82ee81b11ec94fa000d3a0ebc70,
Arial,0,1,10,34,2878b82fe81b11ec94fa000d3a0ebc70,
Arial,0,4,10,34,2878b830e81b11ec94fa000d3a0ebc70,
Arial,0,0,11,32,2878b831e81b11ec94fa000d3a0ebc70,
Arial,0,0,11,34,2878b832e81b11ec94fa000d3a0ebc70,
Arial,0,1,11,32,2878b833e81b11ec94fa000d3a0ebc70,
Arial,0,0,12,32,2878b834e81b11ec94fa000d3a0ebc70,
Arial,0,0,12,34,2878b835e81b11ec94fa000d3a0ebc70,
Arial,0,1,12,32,2878b836e81b11ec94fa000d3a0ebc70,
Arial,0,1,12,34,2878b837e81b11ec94fa000d3a0ebc70,
Arial,0,1,13,32,2878b838e81b11ec94fa000d3a0ebc70,
Arial,0,0,14,32,2878b839e81b11ec94fa000d3a0ebc70,
Arial,0,0,14,34,2878b83ae81b11ec94fa000d3a0ebc70,
Arial,0,1,14,32,2878b83be81b11ec94fa000d3a0ebc70,
Arial,0,1,14,34,2878b83ce81b11ec94fa000d3a0ebc70,
Arial,0,0,16,0,2878b83de81b11ec94fa000d3a0ebc70,
