@VALIDATED,@WHENCREATED,@CWAVERAGERATING,@DESCRIPTION,@NAME,@TYPE,@CWTOTALCOMMENT,@ALTERNATENAME,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@UNIQUEIDENTIFIER,@WHENUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,2020-04-07T14:40:07,0.0,Provides a standardized solution for rapidly adding partners’ products to an existing Catalog. It brings the capability for Service Providers to directly feed partners systems with the technical description of the products they propose to them.,Product Catalog Management API,,0.0,TMF620,0,1899-12-30T00:00:00,0,abefc58178dd11ea80ee000d3a02ed0d,2020-04-07T14:40:07,ATALMOR,ATALMOR,ATALMOR
0,2020-04-07T14:40:07,0.0,"Provides a standardized client interface to Trouble Ticket Management Systems for creating, tracking and managing trouble tickets among partners as a result of an issue or problem identified by a customer or another system. Examples of Trouble Ticket API clients include CRM applications, network management or fault management systems, or other trouble ticket management systems (e.g. B2B).",Trouble Ticket API,,0.0,TMF621,0,1899-12-30T00:00:00,0,abefc58478dd11ea80ee000d3a02ed0d,2020-04-07T14:40:07,ATALMOR,ATALMOR,ATALMOR
0,2020-04-07T14:40:07,0.0,"Provides a standardized mechanism for placing a product order with all of the necessary order parameters. The API consists of a simple set of operations that interact with CRM/Order negotiation systems in a consistent manner. A product order is created based on a product offering that is defined in a catalog. The product offering identifies the product or set of products that are available to a customer and includes characteristics such as pricing, product options and market.",Product Ordering API,,0.0,TMF622,0,1899-12-30T00:00:00,0,abefc58778dd11ea80ee000d3a02ed0d,2020-04-07T14:40:07,ATALMOR,ATALMOR,ATALMOR
0,2020-04-07T14:40:07,0.0,"Provides a standardized interface for Service Level Agreement (SLA) life-cycle Management (SLA Negotiation, SLA configuration SLA Activation/enforcement, SLA Operations, SLA violation / consequence handling, SLA reporting) between a Customer and a Service Provider which provides offers (product with attached SLA in its catalogue) the customer can discover, browse, trigger and order.",SLA Management API,,0.0,TMF623,0,1899-12-30T00:00:00,0,abefc58978dd11ea80ee000d3a02ed0d,2020-04-07T14:40:07,ATALMOR,ATALMOR,ATALMOR
0,2020-04-07T14:40:07,0.0,"Provides a standardized mechanism for performance management such as the creation, partial or full update and retrieval of resources involved in performance management (Measurement Production Job, Measurement Collection Job, and Ad hoc Collection). It also allows notification of events related to performance.",Performance Management API,,0.0,TMF628,0,1899-12-30T00:00:00,0,abefc58b78dd11ea80ee000d3a02ed0d,2020-04-07T14:40:07,ATALMOR,ATALMOR,ATALMOR
0,2020-04-07T14:40:07,0.0,"Provides a standardized mechanism for customer and customer account management, such as creation, update, retrieval, deletion and notification of events.",Customer Management API,,0.0,TMF629,0,1899-12-30T00:00:00,0,abefc58d78dd11ea80ee000d3a02ed0d,2020-04-07T14:40:07,ATALMOR,ATALMOR,ATALMOR
0,2020-04-07T14:40:07,0.0,"Provides a standardized mechanism for party management such as creation, update, retrieval, deletion and notification of events. Party can be an individual or an organization that has any kind of relationship with the enterprise.",Party Management API,,0.0,TMF632,0,1899-12-30T00:00:00,0,abefc59078dd11ea80ee000d3a02ed0d,2020-04-07T14:40:07,ATALMOR,ATALMOR,ATALMOR
0,2020-04-07T14:40:07,0.0,The Service Catalog Management API allows the management of the entire lifecycle of the service catalog elements.,Service Catalog API,,0.0,TMF633,0,1899-12-30T00:00:00,0,abefc59378dd11ea80ee000d3a02ed0d,2020-04-07T14:40:07,ATALMOR,ATALMOR,ATALMOR
0,2020-04-07T14:40:07,0.0,The Resource Catalog Management API REST specification allows the management of the entire lifecycle of the Resource Catalog elements and the consultation of resource catalog elements during several processes such as ordering process.,Resource Catalog Management API,,0.0,TMF634,0,1899-12-30T00:00:00,0,abefc59678dd11ea80ee000d3a02ed0d,2020-04-07T14:40:07,ATALMOR,ATALMOR,ATALMOR
0,2020-04-07T14:40:07,0.0," Provides standardized mechanism for usage management such as creation, update, retrieval, import and export of a collection of usages. The API manages both rated and non-rated usage. For example, it allows a service provider to 1) retrieve usage generated by a partner service platform in order to rate it and 2) to provide rated usage to a partner for consumption follow up purposes.",Usage Management API,,0.0,TMF635,0,1899-12-30T00:00:00,0,abefc59878dd11ea80ee000d3a02ed0d,2020-04-07T14:40:07,ATALMOR,ATALMOR,ATALMOR
