@TYPE,@ALTBUSINESSSCENARIONAME,@CWAVERAGERATING,@CWTOTALCOMMENT,@MATURITYLEVEL,@DESCRIPTION,@FLOWFIGUREDIAGRAMINORIGINALDOCUMENTATION,@BUSINESSSCENARIOID,@WHENCREATED,@POSTCONDITIONSAPPLICABLE,@BUSINESSRULESID,@BUSINESSSCENARIONNOTES,@NAME,@DATEVALIDATED,@TEMPLATE,@PROVIDED,@UNIQUEIDENTIFIER,@BUSINESSRULESAPPLICABLE,@WHENUPDATED,@VALIDATED,@EXPORTFLAG,@PRECONDITIONSAPPLICABLE,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,Notify Network Fault,0.0,0.0,216e2e5f605011e4925a6817294aebff,"In cases where external party is unable to perform within the applicable timeframe, service provider sends a reminder message to external party. If no further response is received from external party, service provider may resolve the Trouble Ticket.",Figure 54 Event as Incident Process Flow,,2014-10-28T03:58:59,,,,Notify Network Fault,1899-12-30T00:00:00,0,,02c4f5335e8911e4925a6817294aebff,,2014-10-30T10:18:41,0,0,"Affected external party and/ or services have been determined.
Provided:",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,PO-BP002 Batch Location Qualification,0.0,0.0,216e2e5f605011e4925a6817294aebff,A Request is initiated from external party to submit a batch request containing multiple locations to be qualified. Note that batch request is for location only type qualification.,,PO-BP002,2014-10-28T03:52:05,"Upon completion of the batch, send a response containing qualification results for each line item within the batch.",,The Flow does not cover message related errors or exceptions; it assumes a valid XML message format.,Batch Location Qualification,1899-12-30T00:00:00,0,,0d849ae35e8811e4925a6817294aebff,"Rejection of individual line items within the batch would not lead to an overall batch rejection.
The maximum number of items contained in a batch will be limited to 3000.",2014-10-30T10:17:20,0,0,"external party has a sent valid message.
Provided:",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,PO-BP005 Location query,0.0,0.0,216e2e5f605011e4925a6817294aebff,"Request initiated by external party to submit a location that is required to be validated. Query used for matching location addresses using a specific street address or partial address, GNAF PID, Lat and Long etc.
It will return either an exact match or a list of close addresses depending on the query.
service provider notifies external party of its receipt and acceptance if valid. service provider then ensures that delivery is possible and sends a delivery acceptance to external party. Depending on the product/service being supplied one or more informational messages may be sent to external party updating the stages of the fulfilment process, for example if physical install is required and an appointment has not been reserved by external party, service provider sends a ?more information required? notification, advising external party that they need to arrange an appointment with the End User.",Figure 27 Location query Process Flow,PO-BP005,2014-10-28T03:59:38,"If single address match, returns NBN Location ID 
Matched address details (dwelling number, street number, street name, suburb, postcode, state)",,The Flow does not cover message related errors or exceptions; it assumes a valid XML message format.,Location query,1899-12-30T00:00:00,0,,1f2292b45e8911e4925a6817294aebff,The list of addresses provided in a response to a close match shall be limited to 50.,2014-10-30T10:18:16,0,0,"external party has sent a valid message.
Provided:",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,PO-BP001 Single site qualification,0.0,0.0,216e2e5f605011e4925a6817294aebff,"Represents an example interaction process where an address is validated using the address query, the details from which can then be included in a qualification request submission. 
Qualification request type ?The location only? to determine whether an access service is available at a given location.",Figure 23 Single Site Location Qualification Process Flow,PO-BP001,2014-10-28T03:59:41,"Determine if the location is serviceable; send a response containing the qualification result details and any appointment requirements.
If the location is serviceable in future then include planned date.",,The Flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Single site qualification,1899-12-30T00:00:00,0,,1f2292b55e8911e4925a6817294aebff,,2014-10-30T10:21:20,0,0,"external party has a sent valid message.
external party'should validate the address using the address search query.",32,32,32
,"Network Testing, Performance and Diagnostics",0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:08:25,,,,"Network Testing, Performance and Diagnostics",1899-12-30T00:00:00,0,,22c1cd135f4b11e4925a6817294aebff,,2014-10-30T10:18:21,0,0,,32,32,32
,Notify Billing Event File,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 60 Notify Billing Event File Sequence Diagram,,2014-10-28T03:52:44,,,,Notify Billing Event File,1899-12-30T00:00:00,0,,23432d565e8811e4925a6817294aebff,"A Billing Event will be found in precisely one Billing Event File. 
A single Billing Event File will be associated to a single external party Billing Account.",2014-10-30T10:18:26,0,0,"external party has at least one active Billing Account.
Flow Description",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,AM-BP004 Query appointment details,0.0,0.0,216e2e5f605011e4925a6817294aebff,external party initiated request to query details of an existing appointment.,,AM-BP004,2014-10-28T04:00:10,Appointment details are returned.,,The Flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Query appointment details,1899-12-30T00:00:00,0,,2cb1892a5e8911e4925a6817294aebff,"An appointment can be queried up to 30 days, consistent with orders and Trouble Tickets, from its completion date. Post this period the information is archived. 
Where an appointment is queried post its completion, the response would not include the contact details.",2014-10-30T10:19:27,0,0,"external party has a sent valid message. 
Valid appointment ID or reference ID is used for query.",32,32,32
,Notify Billing Invoice,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 62 Notify Billing Invoice Sequence Diagram,,2014-10-28T03:53:01,,,,Notify Billing Invoice,1899-12-30T00:00:00,0,,3059bdb35e8811e4925a6817294aebff,The Billing Invoice will be sent to external party in both PDF and ETIS ETEB01 XML formats.,2014-10-30T10:18:31,0,0,"external party has at least one active Billing Account.
Flow of events",32,32,32
,Request Performance Data,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 69  Request Performance Data Sequence Diagram,,2014-10-29T03:16:05,,,,Request Performance Data,1899-12-30T00:00:00,0,,33d313385f4c11e4925a6817294aebff,external party can only request performance data related to their Service/s.,2014-10-30T10:20:24,0,0,"external party has a number of services with service provider.
external party is authorised to perform the test.",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,OH-BP012 Bulk Orders,0.0,0.0,216e2e5f605011e4925a6817294aebff,"external party is placing a bulk order to modify, connect or disconnect multiple Products in the one request. There may be multiple locations.",Figure 37 Bulk Orders Sequence Diagram,OH-BP012,2014-10-28T03:53:16,"Bulk orders have been decomposed into single order.
service provider provision as per single order request.",,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Bulk Orders,1899-12-30T00:00:00,0,,37df0d755e8811e4925a6817294aebff,,2014-10-30T10:17:30,0,0,external party is authorised to submit bulk orders.,32,32,32
