@CWAVERAGERATING,@CWTOTALCOMMENT,@TYPE,@CAPABILITYIDENTIFIER,@EXPORTFLAG,@DATEVALIDATED,@WHENUPDATED,@GROUPSTRATIFICATION,@WHENCREATED,@NAME,@UNIQUEIDENTIFIER,@MATURITYLEVEL,@TEMPLATE,@DESCRIPTION,@VALIDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0.0,0.0,111856a3b7b211ea80f1000d3a02ed0d,1.1.1,0,1899-12-30T00:00:00,2020-06-26T13:36:42,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:42,Channel Management,111856a6b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to establish, analyze, and utilize a digital, analog, or physical conduit through which products, related services, or communications are delivered or received, including the Internet, phone, delivery service, satellite, radio, or physical means.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.1.1,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Definition,111856a9b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to establish, declare, and identify a channel.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.1.2,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Need Determination,111856aab7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to identify, describe, and analyze the appropriate market need for a new or enhanced channel.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.1.3,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Development,111856abb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to identify, leverage, or create new avenues through which the organization can communicate, deliver products and services, and otherwise do business.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.3.1,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Design,111856aeb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to take the conceptualization of an idea about a channel while considering its predetermined specifications in order to define the channel's features and required standards of performance.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.3.2,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Modeling,111856afb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to create approximations of the channel in order to determine feasibility and/or applicability of the channel.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.3.3,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Packaging,111856b0b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to prepare and disseminate a channel into the marketplace.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.1.4,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Risk Management,111856b1b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to assess the likelihood of harm to the business associated with a channel.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.4.1,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Risk Level Determination,111856b2b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to identify and define the level of risk associated with a channel.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.4.2,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Risk Threshold Determination,111856b3b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to identify and define the level of acceptable risk associated with a channel.,0,ATALMOR,ATALMOR,ATALMOR
