@CWTOTALCOMMENT,@CWAVERAGERATING,@UNIQUEIDENTIFIER,@WHENUPDATED,@NAME,@VALIDATED,@DESCRIPTION,@TYPE,@EXPORTFLAG,@WHENCREATED,@DATEVALIDATED,@TEMPLATE,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER
0.0,0.0,36e3bdf45e1011e4b023002590713bc0,2019-06-17T12:42:25,Operations,0,"The Operations (OPS) context area aggregates the Operations Readiness & Support, Fulfillment, Assurance and Billing & Revenue Management vertical context groupings. 

The Fulfillment, Assurance and Billing & Revenue Management (FAB) vertical context groupings are sometimes referred to as Customer Operations concepts, where the Operations Readiness & Support vertical context grouping supports FAB.
.",09ea53bf5e1011e4b023002590713bc0,0,2014-10-27T13:34:07,1899-12-30T00:00:00,0,32,32,ATALMOR,,,
0.0,0.0,7fdec5ec9cff11e5bf18002590713bc0,2015-12-07T10:28:09,Frameworx Category 25,0,,09ea53bf5e1011e4b023002590713bc0,0,2015-12-07T10:28:09,1899-12-30T00:00:00,0,32,32,,32,,
0.0,0.0,c83363d5b42911eb80ff000d3a02ed0d,2021-05-13T20:28:41,Strategy,0,,,0,2021-05-13T20:28:41,1899-12-30T00:00:00,0,,,ATALMOR,,ATALMOR,ATALMOR
0.0,0.0,e1916fdb5e0011e4b023002590713bc0,2019-06-17T12:37:48,Strategy to Readiness,0,"The Strategy to Readiness (S2R) vertical context area aggregates the Strategy Management, Capability Delivery, Lifecycle Management and Operations Readiness (& Support, where the primarily focus is on the Readiness aspects) vertical context groupings.

The aggregated vertical context groupings provide the following functionality:
The Strategy Management vertical context grouping provides the focus within the enterprise for managing specific business strategies and gaining business gaining buy-in.
The Capability Delivery vertical context grouping drives the delivery of domain-specific supporting capabilities.
The Lifecycle Management vertical context grouping drives the definition and delivery of domain-specific value propositions (e.g. products, services, resources, etc.)
The Operations Readiness (& Support) vertical context grouping makes the services defined in the Strategy / Capability / Lifecycle Management vertical sub-groupings available for use in the Operations contexts.",09ea53bf5e1011e4b023002590713bc0,0,2014-10-27T11:44:22,1899-12-30T00:00:00,0,32,32,ATALMOR,,,
0.0,0.0,ec54f51b637011e4925a6817294aebff,2019-06-17T12:43:36,Assurance,0,"The Assurance vertical context grouping executes proactive and reactive maintenance activities to ensure that service provided to parties (e.g. Customers, Business Partners: Suppliers, Partners, etc.) are continuously available and performing to SLAs or QoS performance levels.

Assurance performs continuous resource status and performance monitoring to proactively detect possible failures. It collects performance data and analyzes them to identify potential problems and resolve them without impact to the party. Assurance manages the SLAs and reports service performance to the parties. It receives trouble reports from the parties (e.g. Customers, Business Partners: Suppliers, Partners, etc.), informs the parties of the trouble status, and ensures restoration and repair, while ensuring a satisfied party.",09ea53c15e1011e4b023002590713bc0,0,2014-11-03T09:48:57,1899-12-30T00:00:00,0,32,32,ATALMOR,,,
0.0,0.0,f2c7e676637011e4925a6817294aebff,2019-06-17T12:44:11,Billing & Revenue Management,0,"The Billing & Revenue Management vertical context grouping collects appropriate usage records, determines charging and billing information, produces timely and accurate bills, provides usage and invoice viewing, payment options (pre-pay & post-pay), collections, handles party inquiries about bills, provides billing inquiry status tracking, resolves billing problems and performs usage and revenue reporting at in different domain (e.g. Market & Sales, Product, Customer, Service, Resource, Business Partner, Enterprise, etc.).",09ea53c15e1011e4b023002590713bc0,0,2014-11-03T09:49:00,1899-12-30T00:00:00,0,32,32,ATALMOR,,,
0.0,0.0,f2c7e677637011e4925a6817294aebff,2019-06-17T12:43:09,Fulfillment,0,"The Fulfillment vertical context grouping fulfills party requests (e.g. Customer Orders, Business Partner Orders, etc.) in a timely and correct manner.

Fulfillment translates the requesting party’s (e.g. Customers, Business Partners:  Suppliers, Partners, etc.) business or personal needs into a solution, which can be delivered using the specific products in the enterprise’s portfolio. Fulfillment informs the parties of the status of their order, ensures completion on time, and ensures a satisfied party.",09ea53c15e1011e4b023002590713bc0,0,2014-11-03T09:49:03,1899-12-30T00:00:00,0,32,32,ATALMOR,,,
0.0,0.0,f2c7e678637011e4925a6817294aebff,2019-06-17T12:39:54,Capability Delivery,0,"The Capability Delivery vertical context grouping focuses on the development and delivery of capabilities including: definition, planning and implementation of all necessary infrastructures (e.g. application, computing and network), as well as all other support infrastructures and business capabilities (e.g. operations centers, architectures, resources, partnerships, etc.).

The Capability Delivery vertical context grouping applies in to the resource domain or any other domain (e.g., CRM Voice Response Units) required to provide Information and Communications products to parties (e.g. Customer, Business Partner, etc.) and to support the business. Capability Delivery identifies requirements, capabilities and designs and develops new or enhanced infrastructure to support products, as well as responding to the needs of the Lifecycle Management context grouping (e.g. unit cost reductions, product quality improvements, new products, etc.)",09ea53c15e1011e4b023002590713bc0,0,2014-11-03T09:49:07,1899-12-30T00:00:00,0,32,32,ATALMOR,,,
0.0,0.0,f2c7e679637011e4925a6817294aebff,2019-06-17T12:41:40,Operations Readiness & Support,0,"The Operations Readiness & Support vertical context grouping ensures operational readiness and provides management, logistics and administrative support to the other Operations vertical context groupings: Fulfillment, Assurance, Billing & Revenue Management (FAB).

The end-to-end activities in this vertical context grouping are focused more on ensuring that the FAB grouping runs effectively, and less focused on party-specific activities. For example, the staffing capacity management processes which are used to ensure efficient operation of call centers reflect a need in some enterprises to divide their processes between the immediate customer facing and real-time operations of FAB and other Operations processes which act as a “second-line” or “operations management back-room”. Not all enterprises will choose to employ this split, or to position the division in the same place, so it is recognized that in applying the Frameworx in particular scenarios, the processes in Operations Readiness & Support and in FAB may be merged for day-to-day operation. Nevertheless, it is felt important to acknowledge this separation to reflect a real-world division that is present or emerging in many enterprises. The separation, definition and execution of the Operations Readiness & Support processes can be critical in taking advantage of digital services opportunities, and services opportunities and is particularly important for successful implementation of Customer Self-Management.",09ea53c15e1011e4b023002590713bc0,0,2014-11-03T09:49:10,1899-12-30T00:00:00,0,32,32,ATALMOR,,,
0.0,0.0,f434ce9eb35a11eb80ff000d3a02ed0d,2021-05-12T19:48:01,Readiness & Operations Support,0,,,0,2021-05-12T19:48:01,1899-12-30T00:00:00,0,,,ATALMOR,,ATALMOR,ATALMOR
