@DESCRIPTION,@TYPE,@EXPORTFLAG,@DATEVALIDATED,@UNIQUEIDENTIFIER,@TEMPLATE,@NAME,@ALLOWAUTOMATICDELETION,@VALIDATED,@WHENCREATED,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,,0,1899-12-30T00:00:00,0033297e587911ec8107000d3a02ed0d,0,,0,0,2021-12-08T22:48:47,2021-12-08T22:48:47,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,0cae7944faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
,,0,1899-12-30T00:00:00,00332980587911ec8107000d3a02ed0d,0,,0,0,2021-12-08T22:48:48,2021-12-08T22:48:48,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,0cae7945faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
,,0,1899-12-30T00:00:00,00332982587911ec8107000d3a02ed0d,0,,0,0,2021-12-08T22:48:48,2021-12-08T22:48:48,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,0cae7946faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
,,0,1899-12-30T00:00:00,00332984587911ec8107000d3a02ed0d,0,,0,0,2021-12-08T22:48:49,2021-12-08T22:48:49,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,0cae7947faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
,,0,1899-12-30T00:00:00,00332986587911ec8107000d3a02ed0d,0,,0,0,2021-12-08T22:48:49,2021-12-08T22:48:49,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,0cae7948faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
,,0,1899-12-30T00:00:00,00332988587911ec8107000d3a02ed0d,0,,0,0,2021-12-08T22:48:50,2021-12-08T22:48:50,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,0cae7949faee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
,,0,1899-12-30T00:00:00,0033298a587911ec8107000d3a02ed0d,0,,0,0,2021-12-08T22:48:50,2021-12-08T22:48:50,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,0cae794afaee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
,,0,1899-12-30T00:00:00,0033298c587911ec8107000d3a02ed0d,0,,0,0,2021-12-08T22:48:51,2021-12-08T22:48:51,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,0cae794bfaee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
,,0,1899-12-30T00:00:00,0033298e587911ec8107000d3a02ed0d,0,,0,0,2021-12-08T22:48:51,2021-12-08T22:48:51,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,0cae794cfaee11e4aa85002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
,,0,1899-12-30T00:00:00,00332991587911ec8107000d3a02ed0d,0,,0,0,2021-12-08T22:48:52,2021-12-08T22:48:52,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,d088e1ca87ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
