@NAME,@ALLOWAUTOMATICDELETION,@VALIDATED,@TEMPLATE,@EXPORTFLAG,@DATEVALIDATED,@DESCRIPTION,@TYPE,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:31,2021-05-13T09:24:31,04ff12f2b3cd11eb80ff000d3a02ed0d,658c75e7f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:31,2021-05-13T09:24:31,04ff12f5b3cd11eb80ff000d3a02ed0d,658c75f0f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:32,2021-05-13T09:24:32,04ff12f9b3cd11eb80ff000d3a02ed0d,658c75fcf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:32,2021-05-13T09:24:32,04ff12fcb3cd11eb80ff000d3a02ed0d,658c75fff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:32,2021-05-13T09:24:32,04ff12ffb3cd11eb80ff000d3a02ed0d,658c7602f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:32,2021-05-13T09:24:32,04ff1302b3cd11eb80ff000d3a02ed0d,658c7605f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:32,2021-05-13T09:24:32,04ff1305b3cd11eb80ff000d3a02ed0d,658c7608f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:32,2021-05-13T09:24:32,04ff1308b3cd11eb80ff000d3a02ed0d,658c760ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:33,2021-05-13T09:24:33,04ff130bb3cd11eb80ff000d3a02ed0d,658c7611f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:33,2021-05-13T09:24:33,04ff130eb3cd11eb80ff000d3a02ed0d,658c7614f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
