@CWTOTALCOMMENT,@TYPE,@OBJECTMATURITYLEVEL,@FUNCTIONIDENTIFIER,@NAME,@DESCRIPTION,@CWAVERAGERATING,@VALIDATED,@DATEVALIDATED,@WHENUPDATED,@WHENCREATED,@TEMPLATE,@FUNCTIONORIGIN,@EXPORTFLAG,@UNIQUEIDENTIFIER,@COMMENT,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0.0,,b62ffafee95d11e2be9850b7c3954f49,991,Resource End-To-End Performance Supervision,Resource End-To-End Performance Supervision provides integration with ERP applications for End – End supervising the resource performance.,0.0,0,1899-12-30T00:00:00,2021-05-13T09:26:20,2018-06-25T19:22:06,0,Rel 21,0,0b249cc678ad11e880d7000d3a02ed0d,"New Name, New Description",ATALMOR,ATALMOR,ATALMOR,,,
0.0,,b62ffafee95d11e2be9850b7c3954f49,997D,Patent Administration (DELETED),"Administering Patents, Trademarks etc.",0.0,0,1899-12-30T00:00:00,2021-05-13T13:57:40,2019-05-30T10:45:51,0,19,0,169840b882c811e980e2000d3a02ed0d,"Remove, covered by 907",ATALMOR,ATALMOR,ATALMOR,,,
0.0,,b62ffafee95d11e2be9850b7c3954f49,998,Intellectual Asset Usage Tracking,Intellectual Asset Usage Tracking; Tracking the use and preventing the violation of Intellectual assets.,0.0,0,1899-12-30T00:00:00,2021-05-26T10:47:06,2019-05-30T10:45:51,0,19,0,169840bb82c811e980e2000d3a02ed0d,,ATALMOR,ATALMOR,ATALMOR,,,
0.0,,b62ffafee95d11e2be9850b7c3954f49,999,Intellectual Asset Sharing Policies Management,Intellectual Asset Sharing Policies Management provides creation of policies and controls for intellectual assets sharing.,0.0,0,1899-12-30T00:00:00,2021-05-13T09:26:22,2019-05-30T10:45:51,0,"19
Rel 21",0,169840be82c811e980e2000d3a02ed0d,"New Name, New Description",ATALMOR,ATALMOR,ATALMOR,,,
0.0,,b62ffafee95d11e2be9850b7c3954f49,1000,Enterprise Processes Information Management,"Enterprise Processes Information Management; Managing the information related to experiences, enterprise processes, practices, market etc.",0.0,0,1899-12-30T00:00:00,2021-05-26T10:47:06,2019-05-30T10:45:51,0,19,0,169840c182c811e980e2000d3a02ed0d,,ATALMOR,ATALMOR,ATALMOR,,,
0.0,,b62ffafee95d11e2be9850b7c3954f49,1001,Collaboration Information Updating,Collaboration Information Updating provides using and sharing of information to enhance knowledge.,0.0,0,1899-12-30T00:00:00,2021-05-13T09:26:23,2019-05-30T10:45:51,0,"19
Rel 21",0,169840c482c811e980e2000d3a02ed0d,"New Name, New Description",ATALMOR,ATALMOR,ATALMOR,,,
0.0,,b62ffafee95d11e2be9850b7c3954f49,1002,Collaboration Tools Management,"Collaboration Tools Management provides tools and technologies for collaboration, managing access, authorities and user grouping. ",0.0,0,1899-12-30T00:00:00,2021-05-13T09:26:23,2019-05-30T10:45:51,0,"19
Rel 21",0,169840c782c811e980e2000d3a02ed0d,"New Name, New Description",ATALMOR,ATALMOR,ATALMOR,,,
0.0,,b62ffafee95d11e2be9850b7c3954f49,1003,Knowledge Lifecycle Management,Knowledge Lifecycle Management is managing the Lifecycle of the knowledge content.,0.0,0,1899-12-30T00:00:00,2021-05-13T09:18:48,2019-05-30T10:45:51,0,"19
Rel 21",0,169840ca82c811e980e2000d3a02ed0d,New Description,ATALMOR,ATALMOR,ATALMOR,,,
0.0,,b62ffafee95d11e2be9850b7c3954f49,1004,Knowledge Sharing Policy Processing,Knowledge Sharing Policy Processing Applies rules and policies for sharing of knowledge.,0.0,0,1899-12-30T00:00:00,2021-05-13T09:26:24,2019-05-30T10:45:51,0,"19
Rel 21",0,169840cd82c811e980e2000d3a02ed0d,"New Name, New Description",ATALMOR,ATALMOR,ATALMOR,,,
0.0,,b62ffafee95d11e2be9850b7c3954f49,1005,Knowledge Sharing,Knowledge Sharing is making the knowledge available to internal and external stake holders.,0.0,0,1899-12-30T00:00:00,2021-05-13T09:18:48,2019-05-30T10:45:51,0,"19
Rel 21",0,169840d082c811e980e2000d3a02ed0d,New Description,ATALMOR,ATALMOR,ATALMOR,,,
