@BUSINESSVALUE,@DATEVALIDATED,@GID,@WHENCREATED,@TYPE,@GROUP,@CWTOTALCOMMENT,@ALTFRAMEWORXMETRICID,@MATURITY,@EGID,@SORTID,@UNITS,@NAME,@CWAVERAGERATING,@EXPORTFLAG,@TEMPLATE,@ENTRYDATE,@VALIDATED,@DESCRIPTION,@CATEGORY1,@WHENUPDATED,@CATEGORY2,@BUSINESSVALUE_MLT,@BUSINESSOBJECTS,@UNIQUEIDENTIFIER,@TXTFORMULA,@CATEGORY3,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,1899-12-30T00:00:00,128,2018-04-16T18:50:20,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,"# XDRs Recovered, Processed And Billed After Recycling",3bb730b0309111e880d4000d3a02ed0d,,128,Number,128,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: recovered xDRs which were billed to end customer during the period; 
EXCLUDES: Any xDRs not falling in above criteria",,2021-07-28T20:46:07,,,,024c5c4941a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,256,2018-04-16T18:50:20,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,# XDRs,3bb730b0309111e880d4000d3a02ed0d,,256,Number,256,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of xDRs during the period; 
EXCLUDES: Any xDRs not falling in above criteria
From TIS=257:
INCLUDES: Total billable usage in billing cycle in question",,2021-07-28T20:47:04,,,,024c5c4b41a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,21,2018-04-16T18:50:20,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,"% XDRs Recovered, Processed And Billed After Recycling",3bb730b0309111e880d4000d3a02ed0d,G-RM-RA-PEf,21,Percent,21,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:46:46,General,,[XDR],024c5c4e41a711e880d5000d3a02ed0d,"# XDRs Recovered, Processed And Billed After Recycling / # XDRs",Revenue Assurance - Control Efficiency,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,127,2018-04-16T18:50:20,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,# XDRs Falling Into Suspense,3bb730b0309111e880d4000d3a02ed0d,,127,Number,127,0.0,0,0,2012-09-30T00:00:00,0,"ADDITIONAL COMMENTS: For example, in the case of mobile prepaid, this includes calls, SMS and data xDRs not charged.; 
INCLUDES: All xDRs falling into suspense (or uncharged xDRs for pre-paid) independent of any reason.",,2021-07-28T20:46:06,,,,024c5c4f41a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,1899-12-30T00:00:00,98,2018-04-16T18:50:20,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% XDRs Falling Into Suspense,3bb730b0309111e880d4000d3a02ed0d,B-OE-3c,98,Percent,98,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Operational Efficiency,2021-07-28T20:47:58,Billing,decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,[XDR],024c5c5341a711e880d5000d3a02ed0d,# XDRs Falling Into Suspense / # XDRs,"Defects, Waste, Rework",DFREED,DFREED,DFREED
,1899-12-30T00:00:00,275,2018-04-16T18:50:21,94e8408531e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,Revenue System Uptime,3bb730b0309111e880d4000d3a02ed0d,,275,Day,275,0.0,0,0,2012-12-15T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",,2021-07-28T20:47:14,,,,024c5c5941a711e880d5000d3a02ed0d,(Revenue System Size* days in month)-(MTTR*number of trouble tickets closed in month),,DFREED,DFREED,DFREED
decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,1899-12-30T00:00:00,73,2018-04-16T18:50:21,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,Mean Time Between Failures (MTBF),3bb730b0309111e880d4000d3a02ed0d,A-OE-3c,73,Day,73,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Operational Efficiency,2021-07-28T20:47:44,Assurance,decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,[Customer_Problem_Report],024c5c5d41a711e880d5000d3a02ed0d,Revenue System Uptime / # Customer Problem Reports Closed,"Defects, Waste, Rework",DFREED,DFREED,DFREED
,1899-12-30T00:00:00,277,2018-04-16T18:50:21,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,Mean Time To Repair (MTTR),3bb730b0309111e880d4000d3a02ed0d,,277,Day,277,0.0,0,0,2012-12-15T00:00:00,0,average time required to repair a failed component or device,,2021-07-28T20:47:15,,,,024c5c5f41a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
decrease revenue loss,1899-12-30T00:00:00,264,2018-04-16T18:50:21,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,$ Revenue Unbilled And Underbilled,3bb730b0309111e880d4000d3a02ed0d,G-RM-RA-RLc,264,Currency,264,0.0,0,0,2012-09-30T00:00:00,0,"ADDITIONAL COMMENTS: Currency needs to be adapted for IMF PPP, Similar to RA-RLb but in a monetary value instead of Ratio. If for internal use only, adjustment by IMF PPP not required.; 
INCLUDES: The detected revenue that is entirely or partly not billed to the customer or to 3rd parties",Revenue & Margin,2021-07-28T20:47:08,General,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><html><head><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></head><body>
<p>decrease revenue loss</p>
</body>
</html>",,024c5c6041a711e880d5000d3a02ed0d,,Revenue Assurance - Revenue Leakage,DFREED,DFREED,DFREED
decrease revenue loss,1899-12-30T00:00:00,10,2018-04-16T18:50:21,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% Revenue Unbilled And Underbilled,3bb730b0309111e880d4000d3a02ed0d,G-RM-RA-RLb,10,Percent,10,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:45:53,General,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><html><head><meta content=""text/html; charset=utf-8"" http-equiv=Content-Type><meta name=GENERATOR content=""MSHTML 8.00.6001.19088""></head><body>
<p>decrease revenue loss</p>
</body>
</html>",[Revenue],024c5c6441a711e880d5000d3a02ed0d,$ Revenue Unbilled And Underbilled / $ Revenue,Revenue Assurance - Revenue Leakage,DFREED,DFREED,DFREED
