@WHENUPDATED,@UNIQUEIDENTIFIER,@CWAVERAGERATING,@TOUCHPOINTPATTERN,@TOUCHPOINTID,@DESCRIPTION,@TOUCHPOINTNONREPUDIATIONREQUIREMENT,@TOUCHPOINTDIRECTION,@EXPORTFLAG,@DATEVALIDATED,@MATURITYLEVEL,@TOUCHPOINTALTNAME,@TEMPLATE,@CWTOTALCOMMENT,@TYPE,@NAME,@VALIDATED,@WHENCREATED,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
2015-05-07T11:23:41,01b5ebd25e8a11e4925a6817294aebff,0.0,17cc91055e8911e4925a6817294aebff,PH-TP030,Provides the ability to accept or reject the resolution of an existing trouble Trouble Ticket.,b1324840f4dd11e4aa85002590713bc0,bde37e97f4dd11e4aa85002590713bc0,0,1899-12-30T00:00:00,b8c0274e604c11e4925a6817294aebff,PH-TP030 requestTroubleTicketClearance,0,0.0,c6a04a065e8711e4925a6817294aebff,requestTroubleTicketClearance,0,2014-10-28T04:05:58,32,32,32
2015-05-07T11:23:23,02c4f5325e8911e4925a6817294aebff,0.0,ccdb88c25e8711e4925a6817294aebff,PH-TP022,An end state notification message for an existing Trouble Ticket. This notification indicates that the Trouble Ticket has been closed.,b1324840f4dd11e4aa85002590713bc0,b132483ef4dd11e4aa85002590713bc0,0,1899-12-30T00:00:00,b8c0274e604c11e4925a6817294aebff,PH-TP022 notifyTroubleTicketClosed,0,0.0,c6a04a065e8711e4925a6817294aebff,notifyTroubleTicketClosed,0,2014-10-28T03:58:55,32,32,32
2015-05-07T11:23:03,063724d25e8811e4925a6817294aebff,0.0,ccdb88c25e8711e4925a6817294aebff,PO-TP007,An end state completion message containing the full set of results of a previously submitted batch address search. It indicates that the batch has finished processing and no further messages will be sent in regards to the specified batch.,a8db15b4f4dd11e4aa85002590713bc0,b132483ef4dd11e4aa85002590713bc0,0,1899-12-30T00:00:00,b8c0274e604c11e4925a6817294aebff,PO-TP007 notifyBatchAddressSearchCompleted,0,0.0,c6a04a065e8711e4925a6817294aebff,notifyBatchAddressSearchCompleted,0,2014-10-28T03:51:48,32,32,32
2015-05-07T11:23:42,0878ac0b5e8a11e4925a6817294aebff,0.0,269c709c5e8911e4925a6817294aebff,PO-TP005.1,service provider response containing the results of a previously submitted address search query.,a8db15b4f4dd11e4aa85002590713bc0,b132483ef4dd11e4aa85002590713bc0,0,1899-12-30T00:00:00,b8c0274e604c11e4925a6817294aebff,PO-TP005.1 responseAddressSearch,0,0.0,c6a04a065e8711e4925a6817294aebff,responseAddressSearch,0,2014-10-28T04:06:11,32,32,32
2015-05-07T11:23:23,09c29c685e8911e4925a6817294aebff,0.0,ccdb88c25e8711e4925a6817294aebff,PH-TP003,"A notification message initiated from the service provider alarm & Event mangement system indicating, to the affected external party, that an Network Fault has occured and is needed to be resolved via Trouble Ticket mangement.",b1324840f4dd11e4aa85002590713bc0,b132483ef4dd11e4aa85002590713bc0,0,1899-12-30T00:00:00,b8c0274e604c11e4925a6817294aebff,PH-TP003 notifyTroubleTicketCreated,0,0.0,c6a04a065e8711e4925a6817294aebff,notifyTroubleTicketCreated,0,2014-10-28T03:59:10,32,32,32
2015-05-07T11:23:03,0d849ae25e8811e4925a6817294aebff,0.0,ccdb88c25e8711e4925a6817294aebff,PO-TP009,An end state message indicating the rejection of a previously submitted batch address search. It indicates that the batch was not processed and no further messages will be sent in regards to the specified batch.,a8db15b4f4dd11e4aa85002590713bc0,b132483ef4dd11e4aa85002590713bc0,0,1899-12-30T00:00:00,b8c0274e604c11e4925a6817294aebff,PO-TP009 notifyBatchAddressSearchRejected,0,0.0,c6a04a065e8711e4925a6817294aebff,notifyBatchAddressSearchRejected,0,2014-10-28T03:52:00,32,32,32
2015-05-07T11:23:42,0f81c51a5e8a11e4925a6817294aebff,0.0,17cc91055e8911e4925a6817294aebff,AM-TP010,service provider response to a previous request to amend an appointment. The message will contain service provider?s acceptance (appointment has been updated) or rejection (appointment has not been updated) of the request.,b1324840f4dd11e4aa85002590713bc0,b132483ef4dd11e4aa85002590713bc0,0,1899-12-30T00:00:00,b8c0274e604c11e4925a6817294aebff,AM-TP010 responseAppointmentAmend,0,0.0,c6a04a065e8711e4925a6817294aebff,responseAppointmentAmend,0,2014-10-28T04:06:23,32,32,32
2015-05-07T11:23:24,1102a4c45e8911e4925a6817294aebff,0.0,ccdb88c25e8711e4925a6817294aebff,PH-TP007,An end state message indicating the rejection of a previously submitted Trouble Ticket. It indicates the the Trouble Ticket was not processed and the message will contain the reason as to its rejection. No further messages will be sent in regards to the particular Trouble Ticket.,b1324840f4dd11e4aa85002590713bc0,b132483ef4dd11e4aa85002590713bc0,0,1899-12-30T00:00:00,b8c0274e604c11e4925a6817294aebff,PH-TP007 notifyTroubleTicketRejected,0,0.0,c6a04a065e8711e4925a6817294aebff,notifyTroubleTicketRejected,0,2014-10-28T03:59:19,32,32,32
2015-05-07T11:23:04,1490731c5e8811e4925a6817294aebff,0.0,ccdb88c25e8711e4925a6817294aebff,PO-TP006,A notification message informing external party that a previously submitted batch qualification has been received and has been scheduled to be run.,a8db15b4f4dd11e4aa85002590713bc0,b132483ef4dd11e4aa85002590713bc0,0,1899-12-30T00:00:00,b8c0274e604c11e4925a6817294aebff,PO-TP006 notifyBatchQualificationAcknowledged,0,0.0,c6a04a065e8711e4925a6817294aebff,notifyBatchQualificationAcknowledged,0,2014-10-28T03:52:15,32,32,32
2015-05-07T11:23:43,16b60d7c5e8a11e4925a6817294aebff,0.0,17cc91055e8911e4925a6817294aebff,AM-TP003.1,service provider response to a previously submitted appointment availability request. The message indicates the slots that are available.,b1324840f4dd11e4aa85002590713bc0,b132483ef4dd11e4aa85002590713bc0,0,1899-12-30T00:00:00,b8c0274e604c11e4925a6817294aebff,AM-TP003.1 responseAppointmentAvailability,0,0.0,c6a04a065e8711e4925a6817294aebff,responseAppointmentAvailability,0,2014-10-28T04:06:35,32,32,32
