@NAME,@DATEVALIDATED,@UNIQUEIDENTIFIER,@RESOLVED,@TEMPLATE,@WHENCREATED,@DATERESOLVED,@TYPE,@WHENUPDATED,@DESCRIPTION,@EXPORTFLAG,@VALIDATED,@CWAVERAGERATING,@CWTOTALCOMMENT,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
Application Framework 13.0 Addition,1899-12-30T00:00:00,01091ae79d4811e2a9150026b9bf6441,0,0,2013-04-04T10:52:15,1899-12-30T00:00:00,4a2d4f0980ae11e2b493984be1bad6a0,2013-04-04T10:52:15,,0,0,0.0,0.0,8,8,8,,,
Application Framework 13.5 Modification,1899-12-30T00:00:00,01a9b1262ba611e397730220e3370c01,0,0,2013-10-02T15:02:50,1899-12-30T00:00:00,8b21dab82ba511e397730220e3370c01,2013-10-02T15:02:50,,0,0,0.0,0.0,8,8,8,,,
Business Process Framework 15.0 Modification,1899-12-30T00:00:00,03292428009511e5aa85002590713bc0,0,0,2015-05-22T09:12:52,1899-12-30T00:00:00,62af7d8afe4011e4aa85002590713bc0,2016-01-27T21:15:12,,0,0,0.0,0.0,32,32,8,,,
Information Framework 15.0 Addition,1899-12-30T00:00:00,038749df66e311e5bf18002590713bc0,0,0,2015-09-29T13:48:12,1899-12-30T00:00:00,62af7d8afe4011e4aa85002590713bc0,2016-01-27T21:22:36,,0,0,0.0,0.0,32,32,8,,,
Application Framework Modification,1899-12-30T00:00:00,0444022fdb9211e780d0000d3a02ed0d,0,0,2017-12-07T21:03:05,1899-12-30T00:00:00,fb46f720db9111e780d0000d3a02ed0d,2017-12-07T21:03:05,,0,0,0.0,0.0,,,,DFREED,DFREED,DFREED
Evaluate Value,1899-12-30T00:00:00,0550856e0c0e11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:48,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:54:16,"Whenever a customer purchases a product/service he has a perception about the value he will receive out of it. During the time he is consuming the services, the customer is bound to evaluate value and confirm the perception or change it.",0,0,0.0,0.0,6,6,6,,,
Information Framework 13.0 Deletion,1899-12-30T00:00:00,0633ee41e33a11e2be9650b7c3954f49,0,0,2013-07-02T11:08:35,1899-12-30T00:00:00,4a2d4f0980ae11e2b493984be1bad6a0,2013-07-02T11:08:35,,0,0,0.0,0.0,6,6,6,,,
is this hierarchy correct?,1899-12-30T00:00:00,08e64e2578d111ea80ee000d3a02ed0d,0,0,2020-04-07T13:09:39,1899-12-30T00:00:00,,2020-04-07T13:09:45,,0,0,0.0,0.0,,,,DFREED,DFREED,DFREED
Application Framework 13.0 Deletion,1899-12-30T00:00:00,0a94063c9d4811e2a9150026b9bf6441,-1,0,2013-04-04T10:52:31,2013-04-04T12:52:32,4a2d4f0980ae11e2b493984be1bad6a0,2013-04-04T10:52:31,,0,0,0.0,0.0,8,8,8,,,
Get Help,1899-12-30T00:00:00,0bf63a140c0e11e3beaae4ef44b5706d,0,0,2013-08-23T10:07:00,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:54:38,"There are times when the customer would have interruptions in regular working of his service and would be interacting with the CSP, via either of the channels available for him, to diagnose the service for better or proper functioning.",0,0,0.0,0.0,6,6,6,,,
