@VALIDATED,@WHENCREATED,@DESCRIPTION,@DATEVALIDATED,@EXPORTFLAG,@NAME,@TYPE,@WHENUPDATED,@TEMPLATE,@UNIQUEIDENTIFIER,@ROLEINVALUENETWORK,@CWAVERAGERATING,@CWTOTALCOMMENT,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,2013-08-27T10:52:16,,1899-12-30T00:00:00,0,Field Sales,5e0826a70c1311e3beaae4ef44b5706d,2013-08-27T10:52:16,0,083ff3930f3911e3beaae4ef44b5706d,,0.0,0.0,6,6,6,,,
0,2000-07-25T12:44:31,,1899-12-30T00:00:00,0,Service,c16aabe702434931913750a2481597dc,2005-03-29T22:15:26,0,1a3fb602aced4bf89b6f894b9117c6b3,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2005-05-16T11:16:01,,1899-12-30T00:00:00,0,Supply Chain Development & Management,,2005-05-16T11:16:13,0,1e6ab815c5eb11d981b70010c6589928,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2005-05-16T10:47:33,,1899-12-30T00:00:00,0,Market & Offer Management,,2005-05-16T10:47:41,0,24d051e6c5e711d981b70010c6589928,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2012-08-20T09:53:16,,1899-12-30T00:00:00,0,Resource Organization,,2012-08-20T09:54:25,0,2929bbb0eadf11e19647984be1bad6a0,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2005-05-16T11:16:19,,1899-12-30T00:00:00,0,Supplier/Partner Relationship Management,,2005-05-16T11:16:32,0,2943ec69c5eb11d981b70010c6589928,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2005-03-29T21:46:19,,1899-12-30T00:00:00,0,Customer Relationship Management,,2005-03-29T21:46:52,0,380f38eaa08b11d981a80010c6589928,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2005-03-29T22:15:32,,1899-12-30T00:00:00,0,Service Management & Operations,,2005-03-29T22:15:59,0,4cb7c4f2a08f11d981a80010c6589928,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2004-08-03T13:27:18,,1899-12-30T00:00:00,0,Service Provider,c16aabe702434931913750a2481597dc,2004-07-29T11:15:11,0,52029da1710411d8aeb8005056c00008,"The supplier interacts with the Service Provider in providing hardware, software, solution and services which are assembled by the Service Provider in order to deliver its solutions or services to the Customer. The Service Provider is bounded by its Suppliers’ ability to deliver.

Note that individual enterprises can adopt multiple roles in different value networks. For example a service provider may be the customer-facing service provider in one value network and a complementor or intermediary in another. In today’s fast-moving marketplace, these relationships can be very short-lived compared with the more static relationships of the traditional telecommunications market.
The implications of eBusiness developments, and how these are supported by eTOM, are discussed in a separate Application Note.",0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2012-08-20T09:54:53,,1899-12-30T00:00:00,0,Supplier / Partner Organization,,2012-08-20T09:55:40,0,664a1440eadf11e19647984be1bad6a0,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2000-07-25T12:44:24,,1899-12-30T00:00:00,0,Supplier/ Partner,c16aabe702434931913750a2481597dc,2004-07-29T11:15:15,0,681f7bace3ad415abb15f1108c6ba19a,"The Service Provider presents an integrated view of service products to the Customer. It is responsible for the contractual interface with the Customer to, sell products to the Customer, provide the Customer with contact and support, and bill the Customer for the products supplied. The Service Provider can deliver some or all of a service product to the Customer itself, or it might subcontract out provision of parts, or even all, of the product to other service providers while maintaining the Customer-facing role of the one-stop shop. The Service Provider is responsible for acting on behalf of the value network it represents in relationships with Intermediaries as well as with the Customer.",0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2012-08-20T09:40:50,,1899-12-30T00:00:00,0,"Market, Product and Customer",,2012-08-20T09:50:57,0,6ccd04f0eadd11e19647984be1bad6a0,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2013-08-23T10:45:54,,1899-12-30T00:00:00,0,Web,5e0826a70c1311e3beaae4ef44b5706d,2013-08-23T10:45:54,0,7b24f8a80c1311e3beaae4ef44b5706d,,0.0,0.0,6,6,6,,,
0,2013-08-23T10:46:16,,1899-12-30T00:00:00,0,Social,5e0826a70c1311e3beaae4ef44b5706d,2013-08-23T10:46:16,0,8839c62d0c1311e3beaae4ef44b5706d,,0.0,0.0,6,6,6,,,
0,2013-08-23T10:46:35,,1899-12-30T00:00:00,0,eMail,5e0826a70c1311e3beaae4ef44b5706d,2013-08-23T10:46:35,0,93ef78330c1311e3beaae4ef44b5706d,,0.0,0.0,6,6,6,,,
0,2013-08-23T10:47:38,,1899-12-30T00:00:00,0,Call Center,5e0826a70c1311e3beaae4ef44b5706d,2013-08-23T10:47:38,0,b90092740c1311e3beaae4ef44b5706d,,0.0,0.0,6,6,6,,,
0,2005-05-16T10:58:58,,1899-12-30T00:00:00,0,Service Development & Management,,2005-05-16T10:59:12,0,bc99d187c5e811d981b70010c6589928,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2013-08-27T10:50:11,,1899-12-30T00:00:00,0,Care Centre,5e0826a70c1311e3beaae4ef44b5706d,2013-08-27T10:50:11,0,bd7e69fa0f3811e3beaae4ef44b5706d,,0.0,0.0,6,6,6,,,
0,2000-07-24T15:23:20,Log Action,1899-12-30T00:00:00,0,Market Product & Customer,c16aabe702434931913750a2481597dc,2004-07-29T11:14:42,0,c06e82e62a694a5888867c918c78eafc,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2013-08-23T10:47:55,,1899-12-30T00:00:00,0,Store,5e0826a70c1311e3beaae4ef44b5706d,2013-08-23T10:47:55,0,c36043f00c1311e3beaae4ef44b5706d,,0.0,0.0,6,6,6,,,
0,2000-07-25T14:17:46,Should the interactions with Suppliers/Providers be recorded in the same way as they are with Customers,1899-12-30T00:00:00,0,"Resource (Application, Computing and Network)",c16aabe702434931913750a2481597dc,2005-03-29T22:56:58,0,d254d8720775497a82f1c348985e7343,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2013-08-23T10:48:26,,1899-12-30T00:00:00,0,USSD/SMS/Messaging,5e0826a70c1311e3beaae4ef44b5706d,2013-08-27T10:51:13,0,d59bed850c1311e3beaae4ef44b5706d,,0.0,0.0,6,6,6,,,
0,2005-05-16T11:14:04,,1899-12-30T00:00:00,0,Resource Development & Management,,2005-05-16T11:14:17,0,d8b19e01c5ea11d981b70010c6589928,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2013-08-23T10:48:45,,1899-12-30T00:00:00,0,Device,5e0826a70c1311e3beaae4ef44b5706d,2013-08-23T10:48:45,0,e14e0af40c1311e3beaae4ef44b5706d,,0.0,0.0,6,6,6,,,
0,2005-05-16T11:14:29,,1899-12-30T00:00:00,0,Resource Management & Operations,,2005-05-16T11:14:42,0,e7d44a35c5ea11d981b70010c6589928,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
0,2012-08-20T09:51:29,,1899-12-30T00:00:00,0,Service Organisation,,2012-08-20T09:53:04,0,e90cc4f0eade11e19647984be1bad6a0,,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
