@DESCRIPTION,@EXPORTFLAG,@DATEVALIDATED,@VALIDATED,@WHENCREATED,@TYPE,@TEMPLATE,@NAME,@ALLOWAUTOMATICDELETION,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:25,,0,,0,2020-03-31T15:14:25,4e3c7e5c736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e5d736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e5e736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e5f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e60736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e61736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e62736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e63736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e64736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e65736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e66736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e67736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e68736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e69736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e6a736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e6b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e6c736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e6d736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e6e736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e6f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e70736211ea80ee000d3a02ed0d,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e71736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e72736211ea80ee000d3a02ed0d,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e73736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:26,,0,,0,2020-03-31T15:14:26,4e3c7e74736211ea80ee000d3a02ed0d,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e75736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:14:27,,0,,0,2020-03-31T15:14:27,4e3c7e76736211ea80ee000d3a02ed0d,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,4e3c7e77736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
