@FILLSTYLE,@FILLCOLOUR,@NAMEFILLCOLOUR,@TEXTCOLOUR,@SHADOWSIZE,@VALIDATED,@SHADOWCOLOUR,@NAMEFILLPATTERN,@ELEMENTSUSED,@SPECIALEFFECTS,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@TEMPLATE,@OTHERFLAGS,@DATEVALIDATED,@LINECOLOUR,@LINEWIDTH,@NAME,@LINESTYLE,@TEXTMODE,@SHADOWDIRECTION,@NAMELINESTYLE,@NAMESHADOWDIRECTION,@NAMESHADOWCOLOUR,@NAMESHADOWSIZE,@UNIQUEIDENTIFIER,@VERTICALJUSTIFICATION,@HORIZONTALJUSTIFICATION,RCSTYLETOFONT@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@WHOOWNS,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOUPDATEDTOUSER@WHOUPDATED,RCSTYLETOFONT@FONTNR
0,25231359,0,1,10,0,4,0,263167,0,0,2014-11-05T18:23:03,2014-11-05T18:23:03,0,0,1990-01-01T00:00:00,1,0,,0,1,0,0,0,4,10,001afef8650811e4925a6817294aebff,,,Arial_10_0_0_32,ADMIN,ADMIN,ADMIN,,,,
0,0,0,1,10,-1,4,0,8,0,0,2014-11-05T18:23:03,2014-11-05T18:23:03,0,0,2014-11-05T18:23:03,4,0,,0,1,1,0,0,4,10,001afef9650811e4925a6817294aebff,,,Times New Roman_18_0_5_32,ADMIN,,ADMIN,0,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T14:32:57,2018-05-22T14:32:57,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,0072c3d15dcd11e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T14:32:57,2018-05-22T14:32:57,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,0072c3d25dcd11e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T14:33:00,2018-05-22T14:33:00,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,0072c3d45dcd11e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T14:33:00,2018-05-22T14:33:00,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,0072c3d55dcd11e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,16777216,10,0,4,0,327999,0,0,2015-01-20T13:54:33,2015-01-20T13:54:33,0,0,1899-12-30T00:00:00,16777216,0,,0,1,0,0,0,250,3,010786c3f0ed465aa9230a468787b26b,,,Arial_10_0_0_32,,,,8,8,8,
0,25231359,0,1,10,0,4,0,263167,0,0,2021-12-01T16:30:34,2021-12-01T16:30:34,0,0,1899-12-30T00:00:00,1,0,zRecovered Style 11075,0,1,0,0,0,4,10,010c085f52c411ec8107000d3a02ed0d,,,Arial_10_0_0_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,-1,4,0,8,0,0,2021-12-01T16:30:34,2021-12-01T16:30:34,0,0,2021-12-01T16:30:34,4,0,,0,1,1,0,0,4,10,010c086052c411ec8107000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2004-03-02T02:28:33,2005-11-05T11:41:40,0,0,1899-12-30T00:00:00,1,0,,0,1,1,0,0,9,10,01556e3d3bb440338565658bb266a81b,,,Arial_10_0_0_32,ADMIN,ADMIN,ADMIN,,,,
0,25231359,0,1,10,0,4,0,263167,0,0,2021-12-08T03:57:49,2021-12-08T03:57:49,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,0173e63a57db11ec8107000d3a02ed0d,,,Arial_10_0_0_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,-1,4,0,8,0,0,2021-12-08T03:57:49,2021-12-08T03:57:49,0,0,2021-12-08T03:57:49,4,0,,0,1,1,0,0,4,10,0173e63b57db11ec8107000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,4,0,263167,0,0,2021-12-08T03:57:50,2021-12-08T03:57:50,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,0173e63d57db11ec8107000d3a02ed0d,,,Arial_10_0_0_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,-1,4,0,8,0,0,2021-12-08T03:57:50,2021-12-08T03:57:50,0,0,2021-12-08T03:57:50,4,0,,0,1,1,0,0,4,10,0173e63e57db11ec8107000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,4,0,263167,0,0,2021-12-07T01:07:12,2021-12-07T01:07:12,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,019f531756fa11ec8107000d3a02ed0d,,,Arial_10_0_0_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,-1,4,0,8,0,0,2021-12-07T01:07:12,2021-12-07T01:07:12,0,0,2021-12-07T01:07:12,4,0,,0,1,1,0,0,4,10,019f531856fa11ec8107000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,4,0,263167,0,0,2016-06-06T07:46:46,2016-06-06T07:46:47,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,01b6ee30a4124d8188095dbc13db876a,,,Arial_10_0_0_32,,,,8,8,8,
0,25231359,0,1,10,0,4,0,263167,0,0,2010-04-13T12:46:15,2010-04-13T12:46:15,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,01df1aaa0f9d4f40beb4bde2a1dd0c2c,,,Arial_10_0_0_32,ADMIN,ADMIN,ADMIN,,,,
0,33488896,0,16777216,10,0,9,0,327999,4,0,2006-12-01T13:08:56,2006-12-01T13:08:56,0,0,1899-12-30T00:00:00,16777216,0,Process - Reource Management,0,0,1,0,0,9,0,02189dcf816711db9401000e3573f0d3,,,Arial_20_0_0_32,ADMIN,ADMIN,ADMIN,,,,
0,31522815,16777216,16777216,10,0,9,16777216,327999,0,0,2015-11-15T12:45:16,2015-11-15T12:45:16,0,0,1899-12-30T00:00:00,16777216,0,,0,0,0,0,0,250,0,023ef2498bc911e5bf18002590713bc0,,,Microsoft Sans Serif_18_0_0_32,,,,32,32,32,
0,25231359,0,1,10,0,9,0,263167,0,0,2020-04-08T15:02:49,2020-04-08T15:02:49,0,0,1899-12-30T00:00:00,1,0,,0,1,1,0,0,9,10,0249c4bb79aa11ea80ee000d3a02ed0d,,,Arial_10_0_0_32,DFREED,DFREED,DFREED,,,,
0,33554431,0,1,10,0,4,0,65800,0,0,2020-04-08T15:02:50,2020-04-08T15:02:50,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,250,3,0249c4bc79aa11ea80ee000d3a02ed0d,,,,DFREED,DFREED,DFREED,,,,0
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:00,2018-05-22T15:23:00,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4d45dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:00,2018-05-22T15:23:00,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4d55dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:01,2018-05-22T15:23:01,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4d75dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
