@CWTOTALCOMMENT,@TAMMATURITYLEVEL,@OVERVIEWTXT,@SPLITNAME,@NAME,@CWAVERAGERATING,@DATEVALIDATED,@VALIDATED,@SORTID,@EXPORTFLAG,@UNIQUEIDENTIFIER,@BUSINESSCONTEXT,@TYPE,@TAMAPPLICATIONIDENTIFIER,@DESCRIPTION,@FUNTIONALITY,@DELETEDAPP,@TEMPLATE,@WHENUPDATED,@FRAMEWORXSTATUS,@WHENCREATED,@SUPPORTEDCONTRACTS,@FUNCTIONALITYTXT,@SUPPORTEDBUSINESSSERVICESTXT,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS
0.0,39bed8be4ca211e39beff81a67018365,,Customer Profile Management,Customer Profile Management,0.0,1899-12-30T00:00:00,0,05.01.02,0,007baeef146411e28835f04da23a38c8,,e1ba9cf239d811db9075004096a6c0fb,5.1.2,Customer Profile Management applications provide the necessary functionality to manage customer preferences and customer details.,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><HTML><HEAD><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></HEAD><BODY><P><FONT size=2 face=Arial>Customer Profile Management functionality includes:</FONT></P>
<P><FONT size=2 face=Arial>• Managing Customer Preferences - including customer proprietary information preferences (CPNI), email versus US Mail, how to be contacted (based on type of communication), web look and feel, do not solicit me. Personalization allows delivery of services that more closely match the customer's need. </FONT></P>
<P><FONT size=2 face=Arial>• Managing customer details - E.g. name, contact persons for this customer, account managers for this customer, addresses (residence, billing, service address, etc.), contact phone numbers (landline, mobile, fax, etc.) </FONT></P>
<P><FONT size=2 face=Arial>•&nbsp;</FONT><FONT size=2 face=Arial>Providing Customer Profile Information to any process that needs access to it. </FONT></P>
<P><FONT size=2 face=Arial></FONT></P>
<P><FONT size=2 face=Arial>Customers can be either a household or a business.</FONT></P>
<P></P></BODY></HTML>",0,0,2017-07-12T14:37:00,5c8068728eca11e5bf18002590713bc0,2012-10-12T05:57:03,,,,DFREED,DFREED,DFREED,,
0.0,39bed8be4ca211e39beff81a67018365,,Resource Performance Analysis,Resource Performance Analysis,0.0,1899-12-30T00:00:00,0,07.09.02,0,01713fc446a411df88120026b9bf6441,,e1ba9cf239d811db9075004096a6c0fb,7.9.2,Resource Performance Analysis applications provide the necessary functionality to analyze the performance of the various service provider's resources.,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<HTML><HEAD>
<META content=""text/html; charset=utf-8"" http-equiv=Content-Type>
<META name=GENERATOR content=""MSHTML 8.00.7600.16535""></HEAD>
<BODY>
<P><SPAN style=""FONT-FAMILY: 'Arial','sans-serif'""><FONT size=2>Resource 
Performance Analysis applications provide the necessary functionality to analyze 
the performance of the various service provider's resources.&nbsp; This 
includes:</FONT></SPAN></P>
<UL type=disc>
  <LI 
  style=""LINE-HEIGHT: normal; MARGIN: 0in 0in 10pt; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><FONT size=2><SPAN 
  style=""FONT-FAMILY: 'Arial','sans-serif'; mso-fareast-font-family: 'Times New Roman'"">Analyzing 
  performance data received from Resource Performance Monitoring</SPAN><SPAN 
  style=""mso-fareast-font-family: 'Times New Roman'""><FONT face=Calibri> 
  <?xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" 
  /><o:p></o:p></FONT></SPAN></FONT></LI>
  <LI 
  style=""LINE-HEIGHT: normal; MARGIN: 0in 0in 10pt; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><FONT size=2><SPAN 
  style=""FONT-FAMILY: 'Arial','sans-serif'; mso-fareast-font-family: 'Times New Roman'"">Determining 
  the root causes of resource performance degradations </SPAN></FONT></LI>
  <LI 
  style=""LINE-HEIGHT: normal; MARGIN: 0in 0in 10pt; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><FONT size=2><SPAN 
  style=""FONT-FAMILY: 'Arial','sans-serif'; mso-fareast-font-family: 'Times New Roman'""></SPAN></FONT><SPAN 
  style=""LINE-HEIGHT: 115%; FONT-FAMILY: 'Arial','sans-serif'; FONT-SIZE: 11pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA""><FONT 
  size=2>Provide recommendations for performance improvements and trend 
  analysis</FONT></SPAN></LI></UL></BODY></HTML>",0,0,2017-07-12T14:37:09,5c8068728eca11e5bf18002590713bc0,2010-04-12T22:26:51,,,,ADMIN,ADMIN,DFREED,,
0.0,39bed8be4ca211e39beff81a67018365,,Supply Chain Planning,Supply Chain Planning,0.0,1899-12-30T00:00:00,0,09.10.01,0,01bb1ea2a15811e2a691f04da23a38c8,,e1ba9cf239d811db9075004096a6c0fb,9.10.1,Supply Chain Planning provides the necessary functionality to plan materials and services which will be required by the business for both customer orders and internal needs.,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><HTML><HEAD><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></HEAD><BODY><P><FONT face=Arial><FONT size=2>Supply Chain Planning Management functionality includes:<?xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></FONT></FONT></P>
<UL type=disc>
<LI style=""LINE-HEIGHT: normal; MARGIN: 0in 0in 10pt; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" class=MsoNormal><FONT face=Arial><FONT size=2><SPAN style=""mso-fareast-font-family: 'Times New Roman'"">Demand planning and forecasting, including coordinating the demand forecast of all marketing plans and requisitions, and sharing the forecast with all suppliers</SPAN></FONT></FONT>
<LI style=""LINE-HEIGHT: normal; MARGIN: 0in 0in 10pt; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" class=MsoNormal><SPAN style=""mso-fareast-font-family: 'Times New Roman'""><FONT size=2 face=Arial>Sourcing planning, including current inventory and forecast demand, in collaboration with all suppliers</FONT></SPAN></LI></UL></BODY></HTML>",0,0,2017-07-12T14:37:10,5c8068728eca11e5bf18002590713bc0,2013-04-09T14:56:46,,,,DFREED,DFREED,DFREED,,
0.0,39bed8be4ca211e39beff81a67018365,,Resource Process Management (Workflow/Integration),Resource Process Management (Workflow/ Integration),0.0,1899-12-30T00:00:00,0,07.05,0,021edeb014d511ddad71001e378839ac,,e1ba9cf039d811db9075004096a6c0fb,7.5,Resource Process Management (Workflow/Integration) involves the workflow planning and integration between resource provisioning and change processes. A vital component in this job is the logistics coordination. Delays and logistic disturbances can have a huge negative impact the resource projects and a jeopardy management with early discovery of disturbances and  that warns for consequences is vital.,,0,0,2017-07-12T14:37:09,5c8068728eca11e5bf18002590713bc0,2008-04-27T23:41:40,,,,ADMIN,ADMIN,DFREED,,
0.0,39bed8be4ca211e39beff81a67018365,,Project Accounting,Project Accounting,0.0,1899-12-30T00:00:00,0,09.03.01.05,0,028ec5f6219711df9556001de065480b,,a4afc310752511db93fa000e3573f0d3,9.3.1.5,"Project Accounting applications provide the required functionality to create financial reports specifically designed to track the financial progress of projects, which can then be used by managers to aid project management.","<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><HTML><HEAD><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></HEAD><BODY><P><FONT size=2 face=Arial>Project Accounting functionality supports the following:</FONT></P>
<P><FONT size=2 face=Arial></FONT>
<UL>
<LI><FONT size=2 face=Arial>Budget creation at any level in multiple currencies</FONT>
<P></P>
<P><FONT size=2 face=Arial></FONT></P>
<LI><FONT size=2 face=Arial>Expenditure posting to projects</FONT>
<P></P>
<P><FONT size=2 face=Arial></FONT></P>
<LI><FONT size=2 face=Arial>Status reporting</FONT>
<P></P>
<P><FONT size=2 face=Arial></FONT></P>
<LI><FONT size=2 face=Arial>Comparison of budget, actual, commitment, and revenue amounts</FONT>
<P></P>
<P><FONT size=2 face=Arial></FONT></P>
<LI><FONT size=2 face=Arial>Cost distribution using auto-allocation rules</FONT>
<P></P>
<P><FONT size=2 face=Arial></FONT></P>
<LI><FONT size=2 face=Arial>Transaction controls based on expenditure category, expenditure type, employee, or non-labor resource</FONT>
<P></P>
<P><FONT size=2 face=Arial></FONT></P>
<LI><FONT size=2 face=Arial>Budgetary controls to check available project funds with hard or soft controls</FONT>
<P></P>
<P><FONT size=2 face=Arial></FONT></P>
<LI><FONT size=2 face=Arial>Asset capitalization </FONT></LI></UL>
<P></P></BODY></HTML>",0,0,2017-07-12T14:37:11,5c8068728eca11e5bf18002590713bc0,2010-02-24T17:50:32,,,,EVOLVEADMIN,EVOLVEADMIN,DFREED,,
0.0,39bed8be4ca211e39beff81a67018365,,Sales Negotiation,Sales Negotiation,0.0,1899-12-30T00:00:00,0,03.10.06,0,02c2c61b699a11e1a5f7002564cb911c,,e1ba9cf239d811db9075004096a6c0fb,3.10.6,Sales Negotiation applications provide the capability to provide quotations based on products available to the customer and produce an order request upon customer acceptance.,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><HTML><HEAD><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></HEAD><BODY><FONT size=2 face=Arial>
<P><SPAN style=""FONT-FAMILY: 'Arial','sans-serif'; FONT-SIZE: 10pt"">Sales Negotiation - Sales Negotiation provides the necessary functionality to negotiate the sale by providing multiple quotations as needed, taking into account the customer data, customer qualification, and offers made. Functionality includes access to products, product pricing, scheduling of appointments if a dispatch is necessary, etc.</SPAN><SPAN style=""FONT-FAMILY: 'Arial','sans-serif'""><?xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></SPAN></P>
<P><SPAN style=""FONT-FAMILY: 'Arial','sans-serif'; FONT-SIZE: 10pt"">Sales Negotiation generates an order or service request.</SPAN><SPAN style=""FONT-FAMILY: 'Arial','sans-serif'""><o:p></o:p></SPAN></P>
<UL>
<LI>
<DIV style=""TEXT-INDENT: -0.25in; MARGIN-LEFT: 0.5in; mso-list: l0 level1 lfo1""><SPAN style=""FONT-FAMILY: 'Arial','sans-serif'; FONT-SIZE: 10pt"">Customer order request generation – send solution design details to update proposal product order in Customer Order Management systems <B><o:p></o:p></B></SPAN></DIV></LI>
<LI>
<DIV style=""TEXT-INDENT: -0.25in; MARGIN-LEFT: 0.5in; mso-list: l0 level1 lfo1""><SPAN style=""FONT-FAMILY: 'Arial','sans-serif'; FONT-SIZE: 10pt"">Service order request generation – send solution design details to update service order in Service Order Management systems (after customer agreement – part of handoff to fulfillment)<B><o:p></o:p></B></SPAN></DIV></LI></UL>
<P></FONT></P></BODY></HTML>",0,0,2017-07-12T14:36:58,5c8068728eca11e5bf18002590713bc0,2012-03-08T22:43:20,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><HTML><HEAD><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></HEAD><BODY><UL>
<LI>
<DIV class=MsoListParagraph style=""MARGIN: auto 0in auto 0.5in; TEXT-INDENT: -0.25in; mso-list: l0 level1 lfo1""><SPAN style=""mso-bidi-font-family: Arial"">Customer Order Management<?xml:namespace prefix = ""o"" ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></SPAN></DIV></LI>
<LI>
<DIV class=MsoListParagraph style=""MARGIN: auto 0in auto 0.5in; TEXT-INDENT: -0.25in; mso-list: l0 level1 lfo1""><SPAN style=""mso-bidi-font-family: Arial"">Service Order Management<o:p></o:p></SPAN></DIV></LI></UL>
<P></P></BODY></HTML>",,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><HTML><HEAD><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></HEAD><BODY><UL>
<LI>
<DIV style=""TEXT-INDENT: -0.25in; MARGIN: auto 0in auto 0.5in; mso-list: l0 level1 lfo1"" class=MsoListParagraph><SPAN style=""mso-bidi-font-family: Arial"">Customer Order Management<?xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></SPAN></DIV></LI>
<LI>
<DIV style=""TEXT-INDENT: -0.25in; MARGIN: auto 0in auto 0.5in; mso-list: l0 level1 lfo1"" class=MsoListParagraph><SPAN style=""mso-bidi-font-family: Arial"">Service Order Management<o:p></o:p></SPAN></DIV></LI></UL>
<P></P></BODY></HTML>",ADMIN,ADMIN,DFREED,,
0.0,39bed8be4ca211e39beff81a67018365,,Fallout Orchestration,Fallout Orchestration,0.0,1899-12-30T00:00:00,0,11.02.08,0,03353f562df111df9559001de065480b,,e1ba9cf239d811db9075004096a6c0fb,11.2.8,Fallout Management Orchestration applications provide workflow and orchestration for the Fallout Management area.,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<HTML><HEAD>
<META content=""text/html; charset=utf-8"" http-equiv=Content-Type>
<META name=GENERATOR content=""MSHTML 8.00.6001.18876""></HEAD>
<BODY>
<P><FONT size=2 face=Arial>The Fallout Orchestration application provides 
workflow and orchestration capability across Fallout Management.</FONT> 
</P></BODY></HTML>",0,0,2017-07-12T14:36:58,5c8068728eca11e5bf18002590713bc0,2010-03-12T11:05:02,,,,EVOLVEADMIN,EVOLVEADMIN,DFREED,,
0.0,39bed8be4ca211e39beff81a67018365,,Location Management,Location Management,0.0,1899-12-30T00:00:00,0,07.15,0,0355644d632111e1aa36002564cb911c,,e1ba9cf039d811db9075004096a6c0fb,7.15,"Location Management provides the required functionality to manage the physical and logical attributes of location data for the service provider. It can include addresses (street, city, state/province, & country), geospatial information (lat/long), as well as common code information (such as CLLI - Common Language Location Identifier). This location inventory can include both customer location data as well as service provider location data (anything of interest to the service provider to support their operational needs).","<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<HTML><HEAD>
<META content=""text/html; charset=utf-8"" http-equiv=Content-Type>
<META name=GENERATOR content=""MSHTML 8.00.7601.17744""></HEAD>
<BODY>
<P style=""MARGIN: 6pt 0in"" class=MsoNormal><SPAN 
style=""FONT-SIZE: 10pt; mso-bidi-font-family: Arial"" lang=EN-GB><FONT 
face=Arial>The common capabilities of Location Management applications 
include:<?xml:namespace prefix = o ns = 
""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></FONT></SPAN></P>
<P style=""MARGIN: 6pt 0in"" class=MsoNormal><SPAN 
style=""FONT-SIZE: 10pt; mso-bidi-font-family: Arial"" lang=EN-GB><o:p><FONT 
face=Arial>&nbsp;</FONT></o:p></SPAN></P>
<UL type=disc>
  <LI 
  style=""MARGIN: 6pt 0in; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><FONT face=Arial><SPAN 
  style=""FONT-SIZE: 10pt; mso-bidi-font-family: Arial"" lang=EN-GB>Location 
  structure customization – Location management application should provide 
  facilities for creating, modifying and deleting data structures according to 
  business rules of Service Providers or national and international location 
  regulations. Also <SPAN style=""mso-spacerun: yes"">&nbsp;</SPAN>utilities for 
  defining sets of location attributes, levels and hierarchies should be 
  available.</SPAN><SPAN 
  style=""FONT-FAMILY: 'Times New Roman','serif'; FONT-SIZE: 12pt"" 
  lang=EN-GB><o:p></o:p></SPAN></FONT></LI>
  <LI 
  style=""MARGIN: 6pt 0in; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><FONT face=Arial><SPAN 
  style=""FONT-SIZE: 10pt; mso-bidi-font-family: Arial"" lang=EN-GB>Location 
  search – the ability to search for a provided location/address, including the 
  ability to return near matches if an exact match is not found.</SPAN><SPAN 
  style=""FONT-FAMILY: 'Times New Roman','serif'; FONT-SIZE: 12pt"" 
  lang=EN-GB><o:p></o:p></SPAN></FONT></LI>
  <LI 
  style=""MARGIN: 6pt 0in; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><SPAN style=""FONT-SIZE: 10pt; mso-bidi-font-family: Arial"" 
  lang=EN-GB><FONT face=Arial>Repository integrity – ability to maintain data 
  integrity in the whole location repository. It’s especially important if there 
  are many external data sources that deliver new addresses for the 
  repository.<o:p></o:p></FONT></SPAN></LI>
  <LI 
  style=""MARGIN: 6pt 0in; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><FONT face=Arial><SPAN 
  style=""FONT-SIZE: 10pt; mso-bidi-font-family: Arial"" lang=EN-GB>Location 
  replenishment – means to update the repository with new/updated location 
  information <SPAN style=""mso-spacerun: yes"">&nbsp;</SPAN>from external 
  sources.</SPAN><SPAN lang=EN-GB><o:p></o:p></SPAN></FONT></LI>
  <LI 
  style=""MARGIN: 6pt 0in; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><FONT face=Arial><SPAN 
  style=""FONT-SIZE: 10pt; mso-bidi-font-family: Arial"" lang=EN-GB>Location 
  profiling – application should generate different views for different business 
  cases (e.g. different format of address strings)</SPAN></FONT></LI>
  <LI 
  style=""MARGIN: 6pt 0in; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><SPAN 
  style=""FONT-FAMILY: 'Arial','sans-serif'; FONT-SIZE: 10pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: EN-GB; mso-fareast-language: EN-US; mso-bidi-language: AR-SA"" 
  lang=EN-GB>Change history – tracking all changes of location data, making 
  available attributes according their historical values in certain 
  periods.</SPAN></LI></UL></BODY></HTML>",0,0,2017-07-12T14:37:08,5c8068728eca11e5bf18002590713bc0,2012-02-29T17:02:05,,,,ADMIN,ADMIN,DFREED,,
0.0,39bed8be4ca211e39beff81a67018365,,Resource Order Publication,Resource Order Publication,0.0,1899-12-30T00:00:00,0,07.03.04,0,053ffc67a80b11dc88c400059a3c7800,,e1ba9cf239d811db9075004096a6c0fb,7.3.4,"Resource Order Publication applications issue valid and complete resource orders, and stores the order into an appropriate data store.","<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<HTML><HEAD>
<META content=""text/html; charset=utf-8"" http-equiv=Content-Type>
<META name=GENERATOR content=""MSHTML 8.00.6001.18783""></HEAD>
<BODY>
<P><FONT size=2 face=Arial>The Resource Order Publication application issues valid and 
complete resource orders, and stores the order into an appropriate data 
store.</FONT></P>
<P><FONT size=2 face=Arial></FONT></P>
<P><FONT size=2 face=Arial>As part of order publication, additional data might be 
obtained or derived to support downstream functions that are not provided in the 
resource order request.</FONT></P></BODY></HTML>",0,0,2017-07-12T14:37:08,5c8068728eca11e5bf18002590713bc0,2007-12-11T11:03:41,,,,ADMIN,ADMIN,DFREED,,
0.0,39bed8be4ca211e39beff81a67018365,,Service Performance Analysis,Service Performance Analysis,0.0,1899-12-30T00:00:00,0,06.07.02,0,06e6574d474211df8c200026b9bf6441,,e1ba9cf239d811db9075004096a6c0fb,6.7.2,"Service Performance Analysis applications provide the necessary functionality to continuously analyze the performance of the various service providers’ services.The analyzed data is logged and made available for reporting, and present analysis results made available as notifications for immediate action in case of significant deviation.","<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<HTML><HEAD>
<META content=""text/html; charset=utf-8"" http-equiv=Content-Type>
<META name=GENERATOR content=""MSHTML 8.00.7600.16535""></HEAD>
<BODY>
<P><SPAN style=""FONT-FAMILY: 'Arial','sans-serif'""><FONT size=2>Service 
Performance Analysis applications provide the necessary functionality to analyze 
the performance of the various service provider's services.&nbsp; This 
includes:</FONT></SPAN></P>
<UL type=disc>
  <LI 
  style=""LINE-HEIGHT: normal; MARGIN: 0in 0in 10pt; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><FONT size=2><SPAN 
  style=""FONT-FAMILY: 'Arial','sans-serif'; mso-fareast-font-family: 'Times New Roman'"">Analyzing 
  performance data received from Service Performance Monitoring, considering 
  service topology </SPAN><SPAN 
  style=""mso-fareast-font-family: 'Times New Roman'""><?xml:namespace prefix = o 
  ns = ""urn:schemas-microsoft-com:office:office"" 
/><o:p></o:p></SPAN></FONT></LI>
  <LI 
  style=""LINE-HEIGHT: normal; MARGIN: 0in 0in 10pt; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><FONT size=2><SPAN 
  style=""FONT-FAMILY: 'Arial','sans-serif'; mso-fareast-font-family: 'Times New Roman'"">Determining 
  the root causes of service performance degradations </SPAN><SPAN 
  style=""mso-fareast-font-family: 'Times New Roman'""><o:p></o:p></SPAN></FONT></LI>
  <LI 
  style=""LINE-HEIGHT: normal; MARGIN: 0in 0in 10pt; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; mso-list: l0 level1 lfo1; tab-stops: list .5in"" 
  class=MsoNormal><SPAN 
  style=""FONT-FAMILY: 'Arial','sans-serif'; mso-fareast-font-family: 'Times New Roman'""><FONT 
  size=2>Provide recommendations for performance improvements</FONT></SPAN><SPAN 
  style=""mso-fareast-font-family: 'Times New Roman'""><o:p></o:p></SPAN></LI></UL></BODY></HTML>",0,0,2017-07-12T14:37:06,5c8068728eca11e5bf18002590713bc0,2010-04-13T17:17:56,,,,ADMIN,ADMIN,DFREED,,
