@WHENCREATED,@UNIQUEIDENTIFIER,@WHENUPDATED,@VALIDATED,@DESCRIPTION,@NAME,@DATEVALIDATED,@TEMPLATE,@EXPORTFLAG,@TYPE,@ALLOWAUTOMATICDELETION,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
2019-06-19T17:52:28,006a9bb292bb11e980e4000d3a02ed0d,2019-06-19T17:52:28,0,,,1899-12-30T00:00:00,0,0,,0,96ea801857a911dfac350026b9bf6441,TAMAPPLICATION,153882f0d87211de82d7002564cb911c,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR,,,
2019-06-19T17:52:36,006a9bb492bb11e980e4000d3a02ed0d,2019-06-19T17:52:36,0,,,1899-12-30T00:00:00,0,0,,0,74630e7252bd11e780ca000d3a02ed0d,TAMAPPLICATION,153882f0d87211de82d7002564cb911c,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR,,,
2008-05-04T16:45:18,009337301a1b11ddb716001e378839ac,2008-05-04T16:45:18,0,,,1899-12-30T00:00:00,0,0,,-1,cb1b5a2513a211ddad71001e378839ac,TAMAPPLICATION,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,ADMIN,ADMIN,ADMIN,,,
2010-04-12T22:26:47,01713fc346a411df88120026b9bf6441,2010-04-12T22:26:47,0,,,1899-12-30T00:00:00,0,0,,-1,f7145b5a46a311df88120026b9bf6441,TAMAPPLICATION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ADMIN,ADMIN,ADMIN,,,
2008-04-27T23:41:40,021edeb114d511ddad71001e378839ac,2008-04-27T23:41:40,0,,,1899-12-30T00:00:00,0,0,,-1,021edeb014d511ddad71001e378839ac,TAMAPPLICATION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ADMIN,ADMIN,ADMIN,,,
2010-04-12T22:27:01,09f53e8e46a411df88120026b9bf6441,2010-04-12T22:27:01,0,,,1899-12-30T00:00:00,0,0,,-1,01713fc446a411df88120026b9bf6441,TAMAPPLICATION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ADMIN,ADMIN,ADMIN,,,
2011-03-14T23:19:34,0c0315b44eb311e0b1fc002564cb911c,2011-03-14T23:19:34,0,,,1899-12-30T00:00:00,0,0,,-1,27b34a6b0ea111e0bc42002564cb911c,TAMAPPLICATION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ADMIN,ADMIN,ADMIN,,,
2011-03-14T23:19:34,0c0315b54eb311e0b1fc002564cb911c,2011-03-14T23:19:34,0,,,1899-12-30T00:00:00,0,0,,-1,4bd404e70ea111e0bc42002564cb911c,TAMAPPLICATION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ADMIN,ADMIN,ADMIN,,,
2011-03-14T23:19:34,0c0315b64eb311e0b1fc002564cb911c,2011-03-14T23:19:34,0,,,1899-12-30T00:00:00,0,0,,-1,cf3b34ac0ea011e0bc42002564cb911c,TAMAPPLICATION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ADMIN,ADMIN,ADMIN,,,
2008-04-30T00:36:51,0cf49780166f11ddad71001e378839ac,2008-04-30T00:36:51,0,,,1899-12-30T00:00:00,0,0,,-1,cb1b5a2413a211ddad71001e378839ac,TAMAPPLICATION,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,ADMIN,ADMIN,ADMIN,,,
