@TEMPLATE,@UNIQUEIDENTIFIER,@WHENUPDATED,@TYPE,@WHENCREATED,@VALIDATED,@ALLOWAUTOMATICDELETION,@DATEVALIDATED,@EXPORTFLAG,@NAME,@DESCRIPTION,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,01584ed92ba811e397730220e3370c01,2013-10-02T15:17:07,,2013-10-02T15:17:07,0,0,1899-12-30T00:00:00,0,,,2f8a7369827011dc887d00059a3c7800,TAMAPPLICATION,6c29aab32b9a11e397730220e3370c01,TAMAPPLICATION,8,8,8,,,
0,065fa50da15a11e2a691f04da23a38c8,2013-04-09T15:11:13,,2013-04-09T15:11:13,0,0,1899-12-30T00:00:00,0,,,01bb1ea2a15811e2a691f04da23a38c8,TAMAPPLICATION,e1ba9d3239d811db9075004096a6c0fb,TAMAPPLICATION,,,,DFREED,DFREED,DFREED
0,065fa50ea15a11e2a691f04da23a38c8,2013-04-09T15:11:13,,2013-04-09T15:11:13,0,0,1899-12-30T00:00:00,0,,,1686c205a15811e2a691f04da23a38c8,TAMAPPLICATION,e1ba9d3239d811db9075004096a6c0fb,TAMAPPLICATION,,,,DFREED,DFREED,DFREED
0,065fa50fa15a11e2a691f04da23a38c8,2013-04-09T15:11:14,,2013-04-09T15:11:14,0,0,1899-12-30T00:00:00,0,,,1e0d233aa15811e2a691f04da23a38c8,TAMAPPLICATION,e1ba9d3239d811db9075004096a6c0fb,TAMAPPLICATION,,,,DFREED,DFREED,DFREED
0,065fa510a15a11e2a691f04da23a38c8,2013-04-09T15:11:14,,2013-04-09T15:11:14,0,0,1899-12-30T00:00:00,0,,,31b550f9a15811e2a691f04da23a38c8,TAMAPPLICATION,e1ba9d3239d811db9075004096a6c0fb,TAMAPPLICATION,,,,DFREED,DFREED,DFREED
0,065fa511a15a11e2a691f04da23a38c8,2013-04-09T15:11:15,,2013-04-09T15:11:15,0,0,1899-12-30T00:00:00,0,,,31b550faa15811e2a691f04da23a38c8,TAMAPPLICATION,e1ba9d3239d811db9075004096a6c0fb,TAMAPPLICATION,,,,DFREED,DFREED,DFREED
0,07a99f65480211df8c200026b9bf6441,2010-04-14T16:12:21,,2010-04-14T16:12:21,0,-1,1899-12-30T00:00:00,0,,,a2e26bb6219211df9556001de065480b,TAMAPPLICATION,a7af4561130111ddad71001e378839ac,TAMAPPLICATION,,,,ADMIN,ADMIN,ADMIN
0,08631a83a83211e6bf18002590713bc0,2016-11-11T11:12:33,,2016-11-11T11:12:33,0,0,1899-12-30T00:00:00,0,,,c84b723e67a611e1a5f7002564cb911c,TAMAPPLICATION,743be092a83111e6bf18002590713bc0,TAMAPPLICATION,8,8,8,,,
0,0bba944bafae11e2a7350026b9bf6441,2013-04-27T20:47:53,,2013-04-27T20:47:53,0,0,1899-12-30T00:00:00,0,,,6b97f9a0752711db93fa000e3573f0d3,TAMAPPLICATION,e1ba9cf439d811db9075004096a6c0fb,TAMAPPLICATION,8,8,8,,,
0,0f1cfa988c8011e5bf18002590713bc0,2015-11-16T10:35:35,,2015-11-16T10:35:35,0,-1,1899-12-30T00:00:00,0,,,0b2146e0030411dc878f00059a3c7800,TAMAPPLICATION,e1ba9d0639d811db9075004096a6c0fb,TAMAPPLICATION,8,8,8,,,
