@DESCRIPTION,@CWAVERAGERATING,@CWTOTALCOMMENT,@DOMAINIDFORTAM,@SORTID,@TYPE,@DOMAINDEPRECATED,@DATEVALIDATED,@EXPORTFLAG,@TEMPLATE,@NAME,@VALIDATED,@UNIQUEIDENTIFIER,@WHENUPDATED,@COMMENT,@WHENCREATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS
"The Common domain represents business roles, information and activities (e.g. business entities, business processes, functions, logical applications, interfaces, metrics, etc.) that support other Frameworx domains and are not specific to (i.e. are generic) or “owned by” any particular domain, or are referenced or utilized from two or more other domains.",0.0,0.0,11,8.0,1b026d78742211ea80ee000d3a02ed0d,0,1899-12-30T00:00:00,0,0,Common Domain,0,153882f0d87211de82d7002564cb911c,2020-07-20T16:56:51,,2009-11-23T15:52:17,ATALMOR,ATALMOR,DFREED,,
,0.0,0.0,,,,0,1899-12-30T00:00:00,0,0,Cross Domain,0,20ff99ff5dcf11ec8107000d3a02ed0d,2021-12-15T17:48:02,,2021-12-15T17:48:02,DFREED,DFREED,DFREED,,
"The Business Partner domain represents roles, information and activities carried out by parties (e.g. individuals / organizations) playing roles that are involved in the strategic planning, definition, development, operational aspects and all types of contact with Business Partners (e.g. Suppliers, Partners, etc.) with which an enterprise collaborates in order to operate their business. Activities include management of Business Partner: strategies, capabilities, value propositions, relationships, profiles, data, privacy, security, interactions, communications, tenders, agreements, orders, requisitions, supplies, accounts, balances, inventories, reconciliations, service level agreements (SLAs), training, problems, cases, invoices, payments, revenues, disputes, collections, loyalty, performance, usage statistics, analytics and support of Business Partners as they supply, acquire, use, support, purchase, pay for and are supported for goods and services (products) that they provide and / or obtain from an enterprise.",0.0,0.0,08,6.0,0203d643742411ea80ee000d3a02ed0d,0,1899-12-30T00:00:00,0,0,Business Partner Domain,0,271efcfde24d11e392b26817294aebff,2020-07-20T16:55:58,,2014-05-23T01:37:56,,,DFREED,32,32
"The Resource domain represents roles, information and activities carried out by parties (e.g. individuals / organizations) playing roles that are involved in the strategic planning, definition, development and operational aspects of Resources (e.g. functions, applications, computing, networking and storage) that represent the infrastructure of an enterprise that are used to realize Services. Activities include management of: strategies, capabilities, lifecycles, catalogs, inventories, topologies, installations, activations, alarms, problems, performance, mediation, usage statistics and support of Resources that are managed by an enterprise.",0.0,0.0,07,5.0,0203d642742411ea80ee000d3a02ed0d,0,1899-12-30T00:00:00,0,0,Resource Domain,0,2a1be77e23fd11dc87cb00059a3c7800,2020-04-01T14:21:24,,2007-06-26T10:51:56,ADMIN,ADMIN,DFREED,,
This object is not in use. It was replaced by the Common Domain. ,0.0,0.0,etom,,84ed3b116c0b11e4b36f6817294aebff,0,1899-12-30T00:00:00,0,0,Common Process Patterns Domain (Not in use),0,3c16354e83ae11e5bf18002590713bc0,2021-05-12T21:34:30,,2015-11-05T05:13:27,DFREED,DFREED,DFREED,,
,0.0,0.0,deleted,,84ed3b116c0b11e4b36f6817294aebff,-1,1899-12-30T00:00:00,0,0,Infrastructure Domain,0,6a99e45023fc11dc87cb00059a3c7800,2020-03-31T16:06:22,,2007-06-26T10:46:35,ADMIN,ADMIN,DFREED,,
,0.0,0.0,,,,0,1899-12-30T00:00:00,0,0,Business Partner,0,b2bae13352e011ec8107000d3a02ed0d,2021-12-01T19:56:01,,2021-12-01T19:56:01,ATALMOR,ATALMOR,ATALMOR,,
"The Customer domain represents roles, information and activities carried out by parties (e.g. individuals / organizations) playing roles that are involved in the management of and all types of contact with customers as they acquire, use, pay for and are supported for goods and services (i.e. products) that they obtain from an enterprise. Activities include: Strategy to Readiness (e.g. customer strategies, capabilities, customer lifecycle management) and Operations (e.g. customer relationship management , data, privacy, interactions, communications, orders, accounts, balances, service level agreements (SLAs), training, problems, cases, invoices, payments, disputes, collections, loyalty, performance, usage statistics, analytics and support).",0.0,0.0,05,2.0,0203d63f742411ea80ee000d3a02ed0d,0,1899-12-30T00:00:00,0,0,Customer Domain,0,bd2c886f815f11db9401000e3573f0d3,2020-04-01T14:21:05,,2006-12-01T12:16:54,ADMIN,ADMIN,DFREED,,
"The Enterprise domain represents roles, information and activities that are required to run and support a business. These concepts focus on both the setting and achieving of strategic corporate goals and objectives, as well as providing those support services that are required throughout an Enterprise. These concepts are sometimes considered to be the corporate functions and/or processes (e.g., Financial Management, Human Resources Management processes, etc.). Since Enterprise Management is aimed at general support within the Enterprise, they may interface as needed with almost every other process in the Enterprise, be they operational, strategy, infrastructure or product processes.",0.0,0.0,09,7.0,0203d644742411ea80ee000d3a02ed0d,0,1899-12-30T00:00:00,0,0,Enterprise Domain,0,bd2c887c815f11db9401000e3573f0d3,2020-04-01T14:21:51,,2006-12-01T12:16:55,ADMIN,ADMIN,DFREED,,
"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><HTML><HEAD><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></HEAD><BODY><FONT size=2 face=Arial><SPAN style=""FONT-SIZE: 8pt; FONT-FAMILY: 'MS Sans Serif'; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-bidi-font-family: 'Times New Roman'; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: HE""><SPAN lang=EN-CA>
<P>The Market &amp; Sales Domain represents roles, information and activities pertaining to marketing and sales strategy, capability delivery, lifecycle management and support of parties (e.g. individuals / organizations ) that move through sales lifecycle stages (e.g. contact / lead / prospect) as they learn about, inquire, choose, negotiate, order and are supported for goods and services (i.e. products) that are offered by an enterprise. On the Sales side, this includes sales contacts / leads / prospects through to the sales force and sales statistics. Market includes market strategy and plans, market segments, competitors and their products, through to campaign formulation and reporting</P></SPAN></SPAN></FONT></BODY></HTML>",0.0,0.0,03,1.0,1b026d79742211ea80ee000d3a02ed0d,0,1899-12-30T00:00:00,0,0,Market Sales Domain,0,bd2c8884815f11db9401000e3573f0d3,2020-04-01T14:19:55,,2006-12-01T12:16:56,ADMIN,ADMIN,DFREED,,
