@TYPE,@WHENCREATED,@TEMPLATE,@ALLOWAUTOMATICDELETION,@VALIDATED,@WHENUPDATED,@DESCRIPTION,@DATEVALIDATED,@EXPORTFLAG,@NAME,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0adfe937525611db908800059a3c7800,2009-05-26T14:04:14,0,0,0,2009-05-28T14:45:17,,1899-12-30T00:00:00,0,,005dc2204a2811de8686002170a82a63,e1ba9d0539d811db9075004096a6c0fb,TAMAPPLICATION,76001888cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2009-05-26T15:37:36,0,0,0,2009-05-26T15:37:36,,1899-12-30T00:00:00,0,,0bb228184a3511de8686002170a82a63,e1ba9d0639d811db9075004096a6c0fb,TAMAPPLICATION,7001e850cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe936525611db908800059a3c7800,2008-06-18T16:32:31,0,0,0,2008-06-18T16:32:31,,1899-12-30T00:00:00,0,,0e61e33c3d7e11dd89e90015c54ddcd2,cb1b5a2213a211ddad71001e378839ac,TAMAPPLICATION,7001e883cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe937525611db908800059a3c7800,2008-06-17T15:51:04,0,0,0,2008-06-17T15:51:04,,1899-12-30T00:00:00,0,,196efc363caf11dd89e50015c54ddcd2,324578e10edf11dc87b800059a3c7800,TAMAPPLICATION,7001e8cccb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe936525611db908800059a3c7800,2009-04-24T11:01:10,0,0,0,2009-04-24T11:01:10,,1899-12-30T00:00:00,0,,206407c030e911de866a002170a82a63,87fa3a7d192911dc87c400059a3c7800,TAMAPPLICATION,7001e936cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2009-05-26T15:38:13,0,0,0,2009-05-26T15:38:13,,1899-12-30T00:00:00,0,,218b21b44a3511de8686002170a82a63,6cb9a3b3030411dc878f00059a3c7800,TAMAPPLICATION,7001e8e6cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2009-09-09T14:01:29,0,0,0,2009-09-09T14:01:29,,1899-12-30T00:00:00,0,,2db5108a9d7311de86db002170a82a63,61f675820e1f11dc87b800059a3c7800,TAMAPPLICATION,7001e955cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2012-11-05T16:06:59,0,0,0,2012-11-05T16:06:59,,1899-12-30T00:00:00,0,,31e89d8d279511e2ba69f04da23a38c8,5c3a267767c411e1a5f7002564cb911c,TAMAPPLICATION,de684c300bbb11dd870a001e378839ac,ETOMPROCESS,DFREED,DFREED,DFREED
0adfe936525611db908800059a3c7800,2008-06-20T16:38:19,0,0,0,2008-06-20T16:38:19,,1899-12-30T00:00:00,0,,3217c36a3f1111dd89e90015c54ddcd2,3b5bc7f113d711ddad71001e378839ac,TAMAPPLICATION,7001e94dcb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe936525611db908800059a3c7800,2008-08-05T13:06:26,0,0,0,2008-08-05T13:06:26,,1899-12-30T00:00:00,0,,37d86588631911dd8a1c0015c54ddcd2,bf1cd0640eeb11dc87b800059a3c7800,TAMAPPLICATION,760018b1cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe937525611db908800059a3c7800,2008-06-17T15:51:56,0,0,0,2008-06-17T15:51:56,,1899-12-30T00:00:00,0,,3811ed083caf11dd89e50015c54ddcd2,324578e10edf11dc87b800059a3c7800,TAMAPPLICATION,7001e883cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2009-10-19T13:21:35,0,0,0,2009-10-19T13:21:35,,1899-12-30T00:00:00,0,,3b3d0796bcdc11de870d002170a82a63,ead885f202fd11dc878f00059a3c7800,TAMAPPLICATION,7001e953cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe937525611db908800059a3c7800,2008-06-17T14:40:39,0,0,0,2008-06-17T14:40:39,,1899-12-30T00:00:00,0,,42e10ea23ca511dd89e50015c54ddcd2,324578e10edf11dc87b800059a3c7800,TAMAPPLICATION,7001e846cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe936525611db908800059a3c7800,2008-06-20T16:39:05,0,0,0,2008-06-20T16:39:05,,1899-12-30T00:00:00,0,,4d9cabf03f1111dd89e90015c54ddcd2,3b5bc7f113d711ddad71001e378839ac,TAMAPPLICATION,7001e94ccb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe936525611db908800059a3c7800,2008-08-05T15:23:04,0,0,0,2008-08-05T15:23:04,,1899-12-30T00:00:00,0,,4df01f73632c11dd8a1c0015c54ddcd2,35ace5130eeb11dc87b800059a3c7800,TAMAPPLICATION,760018b1cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe936525611db908800059a3c7800,2008-08-05T13:07:10,0,0,0,2008-08-05T13:07:10,,1899-12-30T00:00:00,0,,51b659c6631911dd8a1c0015c54ddcd2,cfd9f1962f1f11dc87db00059a3c7800,TAMAPPLICATION,760018b8cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2012-11-05T16:07:58,0,0,0,2012-11-05T16:07:58,,1899-12-30T00:00:00,0,,5540fc0b279511e2ba69f04da23a38c8,5c3a267767c411e1a5f7002564cb911c,TAMAPPLICATION,7001e869cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,2012-11-05T16:08:07,0,0,0,2012-11-05T16:08:07,,1899-12-30T00:00:00,0,,5540fc0c279511e2ba69f04da23a38c8,5c3a267767c411e1a5f7002564cb911c,TAMAPPLICATION,4422ca610bc011dd870a001e378839ac,ETOMPROCESS,DFREED,DFREED,DFREED
0adfe936525611db908800059a3c7800,2009-04-24T11:02:42,0,0,0,2009-04-24T11:02:42,,1899-12-30T00:00:00,0,,56a4449e30e911de866a002170a82a63,70ba15b52f2011dc87db00059a3c7800,TAMAPPLICATION,760018b8cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe936525611db908800059a3c7800,2009-04-24T11:02:46,0,0,0,2009-04-24T11:02:46,,1899-12-30T00:00:00,0,,56a4449f30e911de866a002170a82a63,d02678a62f1d11dc87db00059a3c7800,TAMAPPLICATION,760018b8cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe937525611db908800059a3c7800,2008-06-16T16:44:16,0,0,0,2008-06-16T16:44:16,,1899-12-30T00:00:00,0,,5d68226d3bed11dd89e50015c54ddcd2,324578e10edf11dc87b800059a3c7800,TAMAPPLICATION,7001e836cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2012-10-24T05:52:56,0,0,0,2012-10-24T05:52:56,,1899-12-30T00:00:00,0,,60124f1e1dd111e29891f04da23a38c8,1185072567ad11e1a5f7002564cb911c,TAMAPPLICATION,fad3173d0ba711dd870a001e378839ac,ETOMPROCESS,DFREED,DFREED,DFREED
,2009-10-16T08:54:21,0,0,0,2009-10-16T08:54:21,,1899-12-30T00:00:00,0,,67628675ba5b11de8709002170a82a63,0ee3797e049611dc878f00059a3c7800,TAMAPPLICATION,7001e874cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2009-10-16T08:54:25,0,0,0,2009-10-16T08:54:25,,1899-12-30T00:00:00,0,,67628676ba5b11de8709002170a82a63,cb1b5a2513a211ddad71001e378839ac,TAMAPPLICATION,7001e874cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2009-10-16T08:54:30,0,0,0,2009-10-16T08:54:30,,1899-12-30T00:00:00,0,,67628677ba5b11de8709002170a82a63,cb1b5a2613a211ddad71001e378839ac,TAMAPPLICATION,7001e874cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2012-10-24T05:53:20,0,0,0,2012-10-24T05:53:20,,1899-12-30T00:00:00,0,,6ddd65121dd111e29891f04da23a38c8,e19f682667ad11e1a5f7002564cb911c,TAMAPPLICATION,fad3173e0ba711dd870a001e378839ac,ETOMPROCESS,DFREED,DFREED,DFREED
,2012-10-24T05:53:26,0,0,0,2012-10-24T05:53:26,,1899-12-30T00:00:00,0,,6ddd65131dd111e29891f04da23a38c8,e19f682667ad11e1a5f7002564cb911c,TAMAPPLICATION,fad3173f0ba711dd870a001e378839ac,ETOMPROCESS,DFREED,DFREED,DFREED
,2009-10-16T09:16:11,0,0,0,2009-10-16T09:16:11,,1899-12-30T00:00:00,0,,73f6ba2dba5e11de8709002170a82a63,911c7d5213d811ddad71001e378839ac,TAMAPPLICATION,7001e94ccb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2009-10-16T09:16:15,0,0,0,2009-10-16T09:16:15,,1899-12-30T00:00:00,0,,73f6ba2eba5e11de8709002170a82a63,911c7d5213d811ddad71001e378839ac,TAMAPPLICATION,7001e94dcb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
,2012-10-24T05:53:33,0,0,0,2012-10-24T05:53:33,,1899-12-30T00:00:00,0,,75b7179f1dd111e29891f04da23a38c8,e19f682667ad11e1a5f7002564cb911c,TAMAPPLICATION,fad317400ba711dd870a001e378839ac,ETOMPROCESS,DFREED,DFREED,DFREED
0adfe937525611db908800059a3c7800,2008-06-17T14:42:08,0,0,0,2008-06-17T14:42:08,,1899-12-30T00:00:00,0,,77dcac913ca511dd89e50015c54ddcd2,324578e10edf11dc87b800059a3c7800,TAMAPPLICATION,7001e850cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe937525611db908800059a3c7800,2008-08-04T11:58:07,0,0,0,2008-08-04T11:58:07,,1899-12-30T00:00:00,0,,8232c332624611dd8a1c0015c54ddcd2,3c3066d802fe11dc878f00059a3c7800,TAMAPPLICATION,7001e877cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe936525611db908800059a3c7800,2008-07-01T09:53:55,0,0,0,2008-07-01T09:53:55,,1899-12-30T00:00:00,0,,8620bc03477d11dd89f40015c54ddcd2,3da3178a12b611dc87b800059a3c7800,TAMAPPLICATION,7001e880cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
0adfe936525611db908800059a3c7800,2008-06-16T16:02:41,0,0,0,2008-06-16T16:02:41,,1899-12-30T00:00:00,0,,8e2d30ed3be711dd89e50015c54ddcd2,324578e10edf11dc87b800059a3c7800,TAMAPPLICATION,7001e93acb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN
