@VALIDATED,@WHENCREATED,@WHENUPDATED,@TIMEINMINUTES,@NAME,@ABBREVIATION,@EXPORTFLAG,@TEMPLATE,@DATEVALIDATED,@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
-1,1990-01-01T06:00:00,2000-01-01T08:00:00,60.0,Hours,H,0,0,2000-01-01T08:00:00,40bebf5ac5faf9988d7321948d2ca18c,ADMIN,ADMIN,ADMIN
-1,1990-01-01T06:00:00,2000-01-01T08:00:00,1.0,Minutes,M,32,0,2000-01-01T08:00:00,41a320edd18ca6386d04ed2e56be80ac,ADMIN,ADMIN,ADMIN
-1,1990-01-01T06:00:00,2000-01-01T08:00:00,0.0167,Seconds,S,0,0,2000-01-01T08:00:00,44fcfa3d5575e2bca78cb802b7ab0e86,ADMIN,ADMIN,ADMIN
-1,1990-01-01T06:00:00,2000-01-01T08:00:00,43200.0,Months,Mo,0,0,2000-01-01T08:00:00,482eac8ab0dcb000971055089e59b4bc,ADMIN,ADMIN,ADMIN
-1,1990-01-01T06:00:00,2000-01-01T08:00:00,52596000.0,Century,C,0,0,2000-01-01T08:00:00,4878270d53aee5bd2c74c8d23fe6f29a,ADMIN,ADMIN,ADMIN
-1,1990-01-01T06:00:00,2000-01-01T08:00:00,1440.0,Days,D,0,0,2000-01-01T08:00:00,49ea3cb0507731547547d0d2ab6281b0,ADMIN,ADMIN,ADMIN
-1,1990-01-01T06:00:00,2000-01-01T08:00:00,10080.0,Weeks,W,0,0,2000-01-01T08:00:00,4ea56bf8f12c620a6bf352e3a7ba538c,ADMIN,ADMIN,ADMIN
-1,1990-01-01T06:00:00,2000-01-01T08:00:00,131040.0,Quarter,Q,0,0,2000-01-01T08:00:00,4edffe7db86343c3d4eaece8fb2d36a4,ADMIN,ADMIN,ADMIN
-1,1990-01-01T06:00:00,2000-01-01T08:00:00,525600.0,Year,Y,0,0,2000-01-01T08:00:00,4f12232731fcc91a3e2a26aa494b2d9a,ADMIN,ADMIN,ADMIN
-1,1990-01-01T06:00:00,2000-01-01T08:00:00,5258880.0,Decade,D,0,0,2000-01-01T08:00:00,4f98d842d69a11581e1a78864a90378f,ADMIN,ADMIN,ADMIN
