@CWAVERAGERATING,@TYPE,@NAME,@DESCRIPTION,@VALIDATED,@CWTOTALCOMMENT,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@WHENCREATED,@UNIQUEIDENTIFIER,@WHENUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0.0,,Product Order Inventory Management,,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:01,b320e8115dcf11ec8107000d3a02ed0d,2021-12-15T17:52:01,DFREED,DFREED,DFREED
0.0,,Product Order Inventory Management (to be removed?),,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:03,b320e83d5dcf11ec8107000d3a02ed0d,2021-12-15T17:52:03,DFREED,DFREED,DFREED
0.0,,Product Order Inventory Management (to be added),,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:04,b320e8625dcf11ec8107000d3a02ed0d,2021-12-15T17:52:04,DFREED,DFREED,DFREED
0.0,,Resource Order Management,,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:38,c514d3a65dcf11ec8107000d3a02ed0d,2021-12-15T17:52:38,DFREED,DFREED,DFREED
0.0,,Resqource Inventory Management,,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:38,c514d3ad5dcf11ec8107000d3a02ed0d,2021-12-15T17:52:38,DFREED,DFREED,DFREED
0.0,,Supply Chain Management,,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:41,cb0df3ba5dcf11ec8107000d3a02ed0d,2021-12-15T17:52:41,DFREED,DFREED,DFREED
0.0,,Service Inventory Management,,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:52,d109b9465dcf11ec8107000d3a02ed0d,2021-12-15T17:52:52,DFREED,DFREED,DFREED
0.0,,Service Order Inventory Management,,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:52,d109b94b5dcf11ec8107000d3a02ed0d,2021-12-15T17:52:52,DFREED,DFREED,DFREED
0.0,,Service Order Management?,,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:52,d109b94f5dcf11ec8107000d3a02ed0d,2021-12-15T17:52:52,DFREED,DFREED,DFREED
0.0,,Service Order Management,,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:53,d109b9565dcf11ec8107000d3a02ed0d,2021-12-15T17:52:53,DFREED,DFREED,DFREED
0.0,,Service Catalog Management,,0,0.0,0,1899-12-30T00:00:00,0,2021-12-15T17:52:56,d109b9b25dcf11ec8107000d3a02ed0d,2021-12-15T17:52:56,DFREED,DFREED,DFREED
