@NAME,@VALIDATED,@TYPE,@DESCRIPTION,@TEMPLATE,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,@EXPORTFLAG,@ALLOWAUTOMATICDELETION,@DATEVALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,,,0,2020-06-28T20:51:04,2020-06-28T20:51:04,142ca00bb98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856a6b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856b1b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:04,2020-06-28T20:51:04,142ca00cb98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856a6b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856b5b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:04,2020-06-28T20:51:04,142ca00db98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856a6b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856b9b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:04,2020-06-28T20:51:04,142ca00eb98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856a6b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856bdb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:04,2020-06-28T20:51:04,142ca00fb98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856a6b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856c1b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:04,2020-06-28T20:51:04,142ca010b98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856a6b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856cbb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:04,2020-06-28T20:51:04,142ca011b98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856ceb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856cfb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:04,2020-06-28T20:51:04,142ca012b98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856ceb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856d0b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:04,2020-06-28T20:51:04,142ca013b98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856ceb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856d4b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:05,2020-06-28T20:51:05,142ca014b98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856ceb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856d8b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:05,2020-06-28T20:51:05,142ca015b98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856ceb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856dcb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:05,2020-06-28T20:51:05,142ca016b98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856ceb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856dfb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
,0,,,0,2020-06-28T20:51:05,2020-06-28T20:51:05,142ca017b98111ea80f1000d3a02ed0d,0,0,1899-12-30T00:00:00,111856ceb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,111856ebb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,DFREED,DFREED,DFREED
