@TEMPLATE,@DESCRIPTION,@NAME,@DATEVALIDATED,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,@EXPORTFLAG,@TYPE,@VALIDATED,@ALLOWAUTOMATICDELETION,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,,1899-12-30T00:00:00,2020-04-08T14:54:10,2020-04-08T14:54:10,cccff1b479a811ea80ee000d3a02ed0d,0,,0,0,abefc5c478dd11ea80ee000d3a02ed0d,FRAMEWORXAPI,271efcfde24d11e392b26817294aebff,TAMDOMAIN,DFREED,DFREED,DFREED
0,,,1899-12-30T00:00:00,2020-04-08T14:54:10,2020-04-08T14:54:10,cccff1b579a811ea80ee000d3a02ed0d,0,,0,0,abefc5ae78dd11ea80ee000d3a02ed0d,FRAMEWORXAPI,271efcfde24d11e392b26817294aebff,TAMDOMAIN,DFREED,DFREED,DFREED
0,,,1899-12-30T00:00:00,2020-04-08T14:54:10,2020-04-08T14:54:10,cccff1b679a811ea80ee000d3a02ed0d,0,,0,0,abefc5c878dd11ea80ee000d3a02ed0d,FRAMEWORXAPI,271efcfde24d11e392b26817294aebff,TAMDOMAIN,DFREED,DFREED,DFREED
0,,,1899-12-30T00:00:00,2020-04-08T14:54:10,2020-04-08T14:54:10,cccff1b779a811ea80ee000d3a02ed0d,0,,0,0,abefc5e678dd11ea80ee000d3a02ed0d,FRAMEWORXAPI,271efcfde24d11e392b26817294aebff,TAMDOMAIN,DFREED,DFREED,DFREED
0,,,1899-12-30T00:00:00,2020-04-08T14:54:10,2020-04-08T14:54:10,cccff1b879a811ea80ee000d3a02ed0d,0,,0,0,abefc59078dd11ea80ee000d3a02ed0d,FRAMEWORXAPI,271efcfde24d11e392b26817294aebff,TAMDOMAIN,DFREED,DFREED,DFREED
0,,,1899-12-30T00:00:00,2020-04-08T14:54:10,2020-04-08T14:54:10,cccff1b979a811ea80ee000d3a02ed0d,0,,0,0,abefc5ca78dd11ea80ee000d3a02ed0d,FRAMEWORXAPI,271efcfde24d11e392b26817294aebff,TAMDOMAIN,DFREED,DFREED,DFREED
0,,,1899-12-30T00:00:00,2020-04-08T14:54:10,2020-04-08T14:54:10,cccff1ba79a811ea80ee000d3a02ed0d,0,,0,0,abefc5da78dd11ea80ee000d3a02ed0d,FRAMEWORXAPI,271efcfde24d11e392b26817294aebff,TAMDOMAIN,DFREED,DFREED,DFREED
0,,,1899-12-30T00:00:00,2020-04-08T14:54:10,2020-04-08T14:54:10,cccff1bb79a811ea80ee000d3a02ed0d,0,,0,0,abefc5cc78dd11ea80ee000d3a02ed0d,FRAMEWORXAPI,271efcfde24d11e392b26817294aebff,TAMDOMAIN,DFREED,DFREED,DFREED
0,,,1899-12-30T00:00:00,2020-04-08T14:54:10,2020-04-08T14:54:10,cccff1bc79a811ea80ee000d3a02ed0d,0,,0,0,abefc5e478dd11ea80ee000d3a02ed0d,FRAMEWORXAPI,153882f0d87211de82d7002564cb911c,TAMDOMAIN,DFREED,DFREED,DFREED
0,,,1899-12-30T00:00:00,2020-04-08T14:54:10,2020-04-08T14:54:10,cccff1bd79a811ea80ee000d3a02ed0d,0,,0,0,abefc5c678dd11ea80ee000d3a02ed0d,FRAMEWORXAPI,153882f0d87211de82d7002564cb911c,TAMDOMAIN,DFREED,DFREED,DFREED
