@ALLOWAUTOMATICDELETION,@TYPE,@TEMPLATE,@DESCRIPTION,@EXPORTFLAG,@NAME,@WHENUPDATED,@DATEVALIDATED,@UNIQUEIDENTIFIER,@VALIDATED,@WHENCREATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,,0,,2020-04-15T09:32:27,1899-12-30T00:00:00,02c8e1e77efc11ea80ee000d3a02ed0d,0,2020-04-15T09:32:27,5f91df0ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,7001e9aacb2b11db9435000e3573f0d3,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-15T09:25:31,1899-12-30T00:00:00,0b1f84a37efb11ea80ee000d3a02ed0d,0,2020-04-15T09:25:31,59974c93f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,760018afcb2b11db9435000e3573f0d3,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-15T10:08:45,1899-12-30T00:00:00,1491aa2e7f0111ea80ee000d3a02ed0d,0,2020-04-15T10:08:45,5f91df0ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,760018b1cb2b11db9435000e3573f0d3,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-15T09:26:11,1899-12-30T00:00:00,21eb8d9b7efb11ea80ee000d3a02ed0d,0,2020-04-15T09:26:11,658c75cff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,760018afcb2b11db9435000e3573f0d3,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-14T13:45:40,1899-12-30T00:00:00,393837937e5611ea80ee000d3a02ed0d,0,2020-04-14T13:45:40,59974c90f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,7001e9d6cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
0,,0,,0,,2020-04-15T09:26:50,1899-12-30T00:00:00,3a3008837efb11ea80ee000d3a02ed0d,0,2020-04-15T09:26:50,658c742ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,760018afcb2b11db9435000e3573f0d3,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-15T10:10:21,1899-12-30T00:00:00,4e582ae37f0111ea80ee000d3a02ed0d,0,2020-04-15T10:10:21,59974c33f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd451fda815b11e980e2000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-15T10:10:40,1899-12-30T00:00:00,5a36c8dc7f0111ea80ee000d3a02ed0d,0,2020-04-15T10:10:40,59974c3cf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd451fda815b11e980e2000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-15T10:11:09,1899-12-30T00:00:00,6b96e73b7f0111ea80ee000d3a02ed0d,0,2020-04-15T10:11:09,5f91df0ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd451fda815b11e980e2000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-14T13:39:57,1899-12-30T00:00:00,6bf2ab1d7e5511ea80ee000d3a02ed0d,0,2020-04-14T13:39:57,59974c99f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,760018b1cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
0,,0,,0,,2020-04-15T09:49:57,1899-12-30T00:00:00,7661cce17efe11ea80ee000d3a02ed0d,0,2020-04-15T09:49:57,5f91df0ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,760018afcb2b11db9435000e3573f0d3,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-15T10:11:43,1899-12-30T00:00:00,7fc6d4b87f0111ea80ee000d3a02ed0d,0,2020-04-15T10:11:43,59974c2df4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,760018b7cb2b11db9435000e3573f0d3,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-15T10:12:17,1899-12-30T00:00:00,934d33847f0111ea80ee000d3a02ed0d,0,2020-04-15T10:12:17,5f91df05f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,3ed6e23cf4d711e880dc000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
0,,0,,0,,2020-04-14T13:41:06,1899-12-30T00:00:00,966d86e87e5511ea80ee000d3a02ed0d,0,2020-04-14T13:41:06,59974ba3f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,760018b1cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
0,,0,,0,,2020-04-15T10:12:30,1899-12-30T00:00:00,9afe35ed7f0111ea80ee000d3a02ed0d,0,2020-04-15T10:12:30,5f91df08f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,3ed6e23cf4d711e880dc000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
